alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Response
2.64,0.379,3.69,3.83,2.28,-0.0461,Agressive,Happy
2.79,0.359,3.61,3.96,2.22,-0.0568,Agressive,Happy
3.17,0.315,3.57,4.09,1.89,-0.0541,Agressive,Happy
3.4,0.294,3.48,3.98,1.91,-0.0366,Agressive,Happy
3.38,0.296,3.43,3.8,1.98,-0.0255,Agressive,Happy
3.41,0.294,3.6,3.7,1.98,-0.0212,Agressive,Happy
3.47,0.288,3.68,3.76,1.87,-0.0241,Agressive,Happy
3.5,0.285,3.59,4.01,1.89,-0.0214,Agressive,Happy
3.6,0.278,3.62,4.13,1.81,-0.0179,Agressive,Happy
3.73,0.268,3.58,4.08,1.78,-0.0214,Agressive,Happy
3.74,0.267,3.69,4.13,1.7,-0.0254,Agressive,Happy
3.74,0.267,3.68,4.15,1.77,-0.0313,Agressive,Happy
3.78,0.265,3.78,4.17,1.95,-0.0355,Agressive,Happy
3.63,0.275,3.81,4.34,2.17,-0.0405,Agressive,Happy
3.48,0.288,3.95,4.53,2.15,-0.0559,Agressive,Happy
3.44,0.291,3.95,4.62,2.1,-0.066,Agressive,Happy
3.39,0.295,3.9,4.66,2.12,-0.0669,Agressive,Happy
3.31,0.302,3.85,4.65,2.23,-0.0694,Agressive,Happy
3.39,0.295,4.32,4.71,2.89,-0.0675,Agressive,Happy
3.7,0.27,4.6,5.18,2.97,-0.0424,Agressive,Happy
3.82,0.262,4.83,5.72,3.44,-0.0304,Agressive,Happy
3.91,0.256,4.99,5.99,3.56,-0.0253,Agressive,Happy
4.07,0.245,4.98,6,3.62,-0.0113,Agressive,Happy
4.2,0.238,4.98,6.03,3.78,-0.00465,Agressive,Happy
4.27,0.234,4.98,6.05,3.77,-0.00531,Agressive,Happy
4.36,0.229,4.99,6.05,3.77,-0.00531,Agressive,Happy
4.42,0.226,4.98,6.11,3.76,-0.00507,Agressive,Happy
4.43,0.226,5,6.24,3.79,-0.00517,Agressive,Happy
4.43,0.226,5,6.35,3.75,-0.00466,Agressive,Happy
4.35,0.23,4.61,6.33,3.51,-0.00303,Agressive,Happy
4.16,0.24,4.56,6.13,3.52,-0.00155,Agressive,Happy
4.06,0.246,4.04,5.82,3.03,-0.00162,Agressive,Happy
3.92,0.255,3.72,5.67,2.9,-0.00339,Agressive,Happy
3.64,0.275,3.71,5.65,2.67,-0.00654,Agressive,Happy
3.3,0.303,3.93,5.54,2.21,-0.00145,Agressive,Happy
3.32,0.301,3.83,5.5,2.24,-0.00264,Agressive,Happy
3.36,0.298,3.75,5.45,2.25,-0.0105,Agressive,Happy
3.38,0.296,3.81,5.27,2.29,-0.0117,Agressive,Happy
3.44,0.291,3.87,4.84,2.23,-0.0115,Agressive,Happy
