alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Response
3.41,0.293,3.43,5.62,2.46,0.013,Agressive,Agressive
3.42,0.293,3.32,5.55,2.58,0.0147,Agressive,Agressive
3.4,0.294,3.33,5.27,2.54,0.0166,Agressive,Agressive
3.31,0.302,3.35,4.85,2.53,0.0284,Agressive,Agressive
3.28,0.305,3.35,4.79,2.62,0.043,Agressive,Agressive
3.25,0.308,3.29,4.87,2.62,0.0501,Agressive,Agressive
3.05,0.328,3.25,4.86,2.67,0.0652,Agressive,Agressive
2.92,0.343,3.13,4.79,2.66,0.112,Agressive,Agressive
2.91,0.343,2.92,4.77,2.68,0.145,Agressive,Agressive
2.95,0.34,2.89,4.79,2.62,0.138,Agressive,Agressive
3.1,0.323,2.86,4.83,2.65,0.118,Agressive,Agressive
3.33,0.3,2.9,4.83,2.67,0.103,Agressive,Agressive
3.48,0.287,2.96,4.81,2.5,0.0867,Agressive,Agressive
3.53,0.283,2.84,4.76,2.43,0.0763,Agressive,Agressive
3.48,0.287,2.87,4.46,2.32,0.0695,Agressive,Agressive
3.29,0.304,2.88,4.04,2.28,0.0687,Agressive,Agressive
3.22,0.31,2.84,3.76,2.26,0.0622,Agressive,Agressive
3.25,0.308,2.96,3.45,2.13,0.0469,Agressive,Agressive
3.29,0.304,3.24,3.43,2.15,0.0318,Agressive,Agressive
3.52,0.284,3.33,3.77,2.19,0.0265,Agressive,Agressive
3.69,0.271,3.33,3.94,2.15,0.028,Agressive,Agressive
3.63,0.276,3.31,4.06,2.16,0.0249,Agressive,Agressive
3.51,0.285,3.21,4.16,2.13,0.0135,Agressive,Agressive
3.43,0.292,3.13,4.17,2.23,0.00974,Agressive,Agressive
3.41,0.294,3.19,4.09,2.29,0.0146,Agressive,Agressive
3.44,0.291,3.2,4.08,2.22,0.0112,Agressive,Agressive
3.45,0.29,3.2,4.09,2.17,0.00232,Agressive,Agressive
3.43,0.291,3.2,4.08,2.27,-0.00127,Agressive,Agressive
3.48,0.288,2.99,4.07,2.2,0.00459,Agressive,Agressive
3.43,0.292,2.73,3.96,2.19,0.0107,Agressive,Agressive
3.05,0.328,2.72,3.79,2.17,-0.00144,Agressive,Agressive
2.83,0.354,2.57,3.49,2.13,-0.0305,Agressive,Agressive
2.79,0.358,2.55,3.05,2.12,-0.0153,Agressive,Agressive
2.66,0.376,2.55,2.86,2.12,0.00494,Agressive,Agressive
2.65,0.377,2.47,2.94,2.08,0.0165,Agressive,Agressive
2.7,0.371,2.29,2.93,2.05,0.0179,Agressive,Agressive
2.71,0.369,2.17,2.82,2.12,0.0149,Agressive,Agressive
2.74,0.365,2.08,3.06,2.11,0.019,Agressive,Agressive
2.63,0.38,2.11,3.35,2.1,0.0308,Agressive,Agressive
2.44,0.41,2.17,3.43,2.13,0.0413,Agressive,Agressive
2.61,0.383,2.15,3.46,2.08,0.0423,Agressive,Agressive
3.03,0.33,2.1,3.39,2.06,0.0372,Agressive,Agressive
3.2,0.313,2.19,3.76,2.05,0.0215,Agressive,Agressive
3.21,0.311,2.39,4.59,2.2,0.0255,Agressive,Agressive
3.29,0.304,2.41,5.02,2.25,0.0254,Agressive,Agressive
3.39,0.295,2.63,5.11,2.23,0.0199,Agressive,Agressive
3.38,0.296,2.91,5.11,2.3,0.0212,Agressive,Agressive
3.35,0.298,3.05,5.13,2.29,0.0253,Agressive,Agressive
3.34,0.299,3.25,5.13,2.75,0.0253,Agressive,Agressive
3.49,0.287,4.52,5.22,2.99,0.0191,Agressive,Agressive
4.5,0.222,4.92,5.82,3.11,-0.0194,Agressive,Agressive
5.34,0.187,4.95,6.3,3.13,-0.026,Agressive,Agressive
5.57,0.179,4.97,6.49,3.14,-0.026,Agressive,Agressive
5.58,0.179,4.98,6.5,3.13,-0.0261,Agressive,Agressive
5.61,0.178,4.98,6.41,3.06,-0.0264,Agressive,Agressive
5.64,0.177,4.98,6.32,3.03,-0.0256,Agressive,Agressive
