alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Response
3.23,0.31,2.79,5.12,1.74,0.0685,Agressive,Agressive
3.5,0.286,2.75,4.68,1.7,0.0873,Agressive,Agressive
3.65,0.274,2.9,4.31,1.65,0.0889,Agressive,Agressive
3.79,0.264,2.98,4.32,1.91,0.097,Agressive,Agressive
3.83,0.261,3.11,4.4,1.93,0.0999,Agressive,Agressive
3.8,0.263,3.13,4.23,1.93,0.0971,Agressive,Agressive
3.8,0.263,3.07,4,1.92,0.0964,Agressive,Agressive
3.79,0.264,3.02,4.05,1.93,0.11,Agressive,Agressive
3.81,0.263,3.23,4.16,1.96,0.114,Agressive,Agressive
3.9,0.256,3.29,4.25,2.02,0.0899,Agressive,Agressive
3.93,0.254,3.21,4.39,2.07,0.0732,Agressive,Agressive
3.78,0.265,3.22,4.46,2.11,0.0815,Agressive,Agressive
3.65,0.274,3.21,4.46,2.19,0.0899,Agressive,Agressive
3.51,0.285,3.17,4.44,2.26,0.0786,Agressive,Agressive
3.33,0.3,3,4.3,2.16,0.0502,Agressive,Agressive
3.32,0.301,2.96,4.16,2.27,0.0343,Agressive,Agressive
3.45,0.29,2.96,4.14,2.41,0.0328,Agressive,Agressive
3.57,0.28,2.97,4.08,2.38,0.0321,Agressive,Agressive
3.64,0.275,2.97,3.94,2.36,0.0271,Agressive,Agressive
3.62,0.276,2.93,3.92,2.45,0.0284,Agressive,Agressive
3.44,0.291,2.97,3.86,2.37,0.046,Agressive,Agressive
3.34,0.3,3.02,3.61,2.33,0.0545,Agressive,Agressive
3.33,0.3,3.06,3.35,2.4,0.0336,Agressive,Agressive
3.26,0.307,3.07,3.46,2.37,-0.00235,Agressive,Agressive
3.16,0.317,3.28,3.56,2.39,-0.00674,Agressive,Agressive
3.15,0.318,3.3,3.5,2.35,0.00223,Agressive,Agressive
3.11,0.321,3.24,3.5,2.23,-0.00187,Agressive,Agressive
3.09,0.324,3.25,3.55,2.15,-0.00589,Agressive,Agressive
3.02,0.331,3.31,3.58,2.14,-0.00534,Agressive,Agressive
2.85,0.351,3.3,3.63,2.12,-0.00371,Agressive,Agressive
2.8,0.357,3.15,3.6,2.02,-0.00196,Agressive,Agressive
2.82,0.354,3.16,3.46,2.11,-0.00774,Agressive,Agressive
2.86,0.35,3.2,3.47,2.12,-0.0134,Agressive,Agressive
2.84,0.353,3.16,3.69,2.07,0.00313,Agressive,Agressive
2.82,0.355,3.04,3.91,2.08,0.0213,Agressive,Agressive
2.87,0.348,3,4.04,2.01,0.0306,Agressive,Agressive
2.96,0.338,3.11,4.16,2.08,0.0375,Agressive,Agressive
2.95,0.339,3.1,4.2,2.09,0.0569,Agressive,Agressive
2.92,0.342,3.08,4.19,2.11,0.0766,Agressive,Agressive
2.84,0.352,2.99,4.33,2.1,0.0866,Agressive,Agressive
2.76,0.363,3.08,4.56,2.12,0.091,Agressive,Agressive
2.81,0.356,3.14,4.67,2.1,0.0853,Agressive,Agressive
2.94,0.341,3.19,4.69,2.05,0.0831,Agressive,Agressive
3.03,0.33,3.14,4.69,2.01,0.0735,Agressive,Agressive
3.06,0.327,3.47,4.65,2.11,0.0524,Agressive,Agressive
3.09,0.323,3.5,4.5,2.12,0.0302,Agressive,Agressive
3.18,0.315,3.45,4.48,2.15,0.0238,Agressive,Agressive
3.11,0.321,3.42,4.5,2.19,0.0225,Agressive,Agressive
3.04,0.329,3.44,4.48,2.24,0.00733,Agressive,Agressive
2.99,0.334,3.44,4.46,2.28,-0.0106,Agressive,Agressive
3.06,0.327,3.41,4.3,2.3,-0.022,Agressive,Agressive
3.06,0.326,3.37,4.14,2.32,-0.0289,Agressive,Agressive
2.98,0.336,3.33,4.05,2.39,-0.0348,Agressive,Agressive
2.87,0.348,3.28,3.96,2.44,-0.0336,Agressive,Agressive
2.78,0.359,3.39,3.78,2.34,-0.0222,Agressive,Agressive
2.75,0.364,3.13,3.84,2.19,-0.0112,Agressive,Agressive
2.67,0.375,3.05,3.96,2.14,-0.00495,Agressive,Agressive
2.78,0.36,3.2,3.85,2.11,0.00882,Agressive,Agressive
2.86,0.35,3.27,3.66,2.04,0.0128,Agressive,Agressive
2.83,0.353,3.31,3.76,1.97,0.0152,Agressive,Agressive
2.81,0.355,3.44,3.88,1.95,0.0505,Agressive,Agressive
2.97,0.337,3.5,3.88,1.88,0.0801,Agressive,Agressive
3.1,0.323,3.57,3.81,1.8,0.0861,Agressive,Agressive
3.14,0.318,3.65,3.87,1.52,0.0998,Agressive,Agressive
3.12,0.321,3.67,3.98,1.45,0.113,Agressive,Agressive
3.14,0.319,3.61,3.98,1.52,0.0959,Agressive,Agressive
3.21,0.312,3.59,3.97,1.5,0.0956,Agressive,Agressive
3.12,0.32,3.58,3.97,1.48,0.102,Agressive,Agressive
2.96,0.337,3.55,3.96,1.48,0.0882,Agressive,Agressive
2.88,0.347,3.56,4,1.49,0.078,Agressive,Agressive
2.9,0.345,3.58,3.93,1.47,0.054,Agressive,Agressive
2.77,0.361,3.55,3.76,1.27,0.0441,Agressive,Agressive
2.67,0.374,3.5,3.77,1.23,0.0441,Agressive,Agressive
2.71,0.369,3.59,3.81,1.46,0.0314,Agressive,Agressive
2.75,0.364,3.41,3.63,1.68,0.024,Agressive,Agressive
2.77,0.362,3.44,3.77,1.82,0.0242,Agressive,Agressive
2.69,0.372,3.39,4.23,1.78,0.0217,Agressive,Agressive
2.8,0.357,3.41,4.41,1.71,0.0103,Agressive,Agressive
2.89,0.346,3.5,4.38,1.84,-0.00222,Agressive,Agressive
3.03,0.33,3.51,4.39,1.83,-0.0164,Agressive,Agressive
3.14,0.318,3.4,4.4,1.91,-0.0134,Agressive,Agressive
3.32,0.301,3.47,4.39,2.06,0.00253,Agressive,Agressive
3.49,0.286,3.55,4.45,2.1,0.0141,Agressive,Agressive
3.48,0.287,3.68,4.43,2.09,0.0212,Agressive,Agressive
3.38,0.296,3.6,4.42,1.94,0.0206,Agressive,Agressive
3.41,0.293,3.57,4.55,1.85,0.0215,Agressive,Agressive
3.51,0.285,3.58,4.43,1.79,0.023,Agressive,Agressive
3.49,0.287,3.59,4.04,1.91,0.0252,Agressive,Agressive
3.43,0.292,3.57,3.94,1.91,0.025,Agressive,Agressive
3.39,0.295,3.46,3.94,1.86,0.0212,Agressive,Agressive
3.4,0.295,3.49,3.89,1.94,0.00628,Agressive,Agressive
3.35,0.298,3.53,3.85,1.78,-0.00107,Agressive,Agressive
3.27,0.306,3.38,3.79,1.68,-0.00983,Agressive,Agressive
3.28,0.305,3.07,3.63,1.62,-0.0252,Agressive,Agressive
3.51,0.285,3.17,3.51,1.58,-0.0254,Agressive,Agressive
3.76,0.266,3.28,3.39,1.56,-0.0155,Agressive,Agressive
3.86,0.259,3.31,2.94,1.64,-0.0102,Agressive,Agressive
3.87,0.258,3.25,2.76,1.48,-0.00692,Agressive,Agressive
3.89,0.257,3.25,2.64,1.44,-0.00181,Agressive,Agressive
3.93,0.255,3.2,2.3,1.57,0.0068,Agressive,Agressive
3.93,0.254,3.17,2.32,1.67,0.0182,Agressive,Agressive
3.89,0.257,3.28,2.62,1.76,0.031,Agressive,Agressive
3.85,0.26,3.44,2.77,1.82,0.0312,Agressive,Agressive
3.78,0.264,3.47,2.8,1.86,0.0272,Agressive,Agressive
3.73,0.268,3.48,2.83,1.88,0.0305,Agressive,Agressive
3.73,0.268,3.33,2.91,1.9,0.0412,Agressive,Agressive
3.66,0.273,3.37,2.92,1.91,0.0482,Agressive,Agressive
4.76,0.21,4.82,6.83,3.43,0.0275,Agressive,Agressive
4.75,0.21,4.54,6.77,3.09,0.0248,Agressive,Agressive
4.47,0.224,4.49,6.4,3.06,0.017,Agressive,Agressive
4.21,0.238,4.51,5.87,3.06,-0.000641,Agressive,Agressive
4.24,0.236,4.52,5.73,2.85,-0.0052,Agressive,Agressive
4.3,0.232,3.64,5.71,2.52,-0.00452,Agressive,Agressive
4.27,0.234,3.43,5.47,2.62,-0.00204,Agressive,Agressive
4,0.25,3.4,5.28,2.63,-0.00285,Agressive,Agressive
3.63,0.276,3.42,5.09,2.69,-0.0164,Agressive,Agressive
3.58,0.28,3.62,4.87,2.6,-0.0205,Agressive,Agressive
3.58,0.279,3.63,4.84,2.3,-0.0158,Agressive,Agressive
3.56,0.281,3.45,4.88,2.26,-0.01,Agressive,Agressive
3.59,0.279,3.53,4.87,2.31,0.00537,Agressive,Agressive
3.53,0.284,3.7,4.88,2.43,0.0174,Agressive,Agressive
3.43,0.292,3.69,4.7,2.42,0.0149,Agressive,Agressive
3.29,0.304,3.67,4.36,2.5,0.0196,Agressive,Agressive
3.18,0.315,3.69,4.19,2.54,0.0184,Agressive,Agressive
3.2,0.313,3.75,4.16,2.44,0.0149,Agressive,Agressive
3.26,0.307,3.79,4.14,2.49,0.0163,Agressive,Agressive
3.32,0.301,3.76,4.06,2.49,0.0281,Agressive,Agressive
3.36,0.298,3.49,3.88,2.54,0.0327,Agressive,Agressive
3.3,0.303,3.44,3.72,2.56,0.0315,Agressive,Agressive
3.16,0.317,3.47,3.64,2.57,0.0293,Agressive,Agressive
3.25,0.308,3.4,3.67,2.48,0.0206,Agressive,Agressive
3.65,0.274,3.24,3.89,2.36,0.00149,Agressive,Agressive
3.8,0.263,3.51,3.83,2.32,-0.00435,Agressive,Agressive
3.79,0.264,3.52,3.84,2.23,-0.00637,Agressive,Agressive
3.87,0.258,3.59,4.08,2.09,-0.0108,Agressive,Agressive
3.91,0.256,3.51,4.27,1.95,-0.0139,Agressive,Agressive
3.82,0.262,3.58,4.46,1.97,-0.0157,Agressive,Agressive
3.76,0.266,3.67,4.6,1.96,-0.0169,Agressive,Agressive
3.74,0.267,3.72,4.61,1.91,-0.0137,Agressive,Agressive
3.83,0.261,3.71,4.62,2.08,-0.0125,Agressive,Agressive
3.94,0.254,3.56,4.65,2.14,-0.0126,Agressive,Agressive
3.85,0.26,3.55,4.57,2.19,-0.0128,Agressive,Agressive
3.55,0.282,3.38,4.47,2.19,-0.00651,Agressive,Agressive
3.34,0.299,3.32,4.49,2.32,0.0131,Agressive,Agressive
3.33,0.3,3.36,4.45,2.35,0.0306,Agressive,Agressive
3.18,0.314,3.31,4.32,2.36,0.0557,Agressive,Agressive
