alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Response
3.18,0.315,2.96,4.67,2.79,0.0236,Agressive,Happy
3.29,0.304,3,4.78,2.94,0.0256,Agressive,Happy
3.31,0.302,2.95,4.83,2.99,0.0261,Agressive,Happy
3.22,0.31,2.83,4.85,2.99,0.0231,Agressive,Happy
3.15,0.317,2.77,4.83,2.68,0.0185,Agressive,Happy
3.1,0.322,2.63,4.83,2.68,0.0209,Agressive,Happy
3.03,0.33,2.59,4.83,2.67,0.0175,Agressive,Happy
3.04,0.329,2.85,4.77,2.68,0.013,Agressive,Happy
2.89,0.346,2.84,4.62,2.7,0.0143,Agressive,Happy
2.63,0.38,2.79,4.54,2.58,0.0319,Agressive,Happy
2.4,0.417,2.87,4.41,2.57,0.0562,Agressive,Happy
2.27,0.44,3,4.27,2.53,0.0514,Agressive,Happy
1.86,0.536,3,4.16,2.19,0.0548,Agressive,Happy
1.66,0.603,3.01,4.05,2.13,0.0771,Agressive,Happy
1.69,0.59,3.04,3.99,2.16,0.0631,Agressive,Happy
1.93,0.518,3.25,4,2.15,0.0182,Agressive,Happy
2.06,0.485,3.43,4,2.35,0.00735,Agressive,Happy
1.97,0.509,3.5,4.01,2.33,0.024,Agressive,Happy
1.94,0.516,3.44,3.98,2.39,0.0465,Agressive,Happy
2.07,0.482,3.48,3.81,2.35,0.0436,Agressive,Happy
2.16,0.462,3.5,3.54,2.4,0.0299,Agressive,Happy
2.14,0.466,3.46,3.39,2.37,0.0215,Agressive,Happy
2.59,0.387,3.41,3.53,2.38,-0.000035,Agressive,Happy
3.15,0.317,3.4,3.59,2.5,-0.0218,Agressive,Happy
3.29,0.304,3.35,3.73,2.48,-0.0261,Agressive,Happy
3.28,0.305,3.36,4.01,2.44,-0.0265,Agressive,Happy
3.2,0.313,3.13,4.22,2.43,-0.0304,Agressive,Happy
3.17,0.316,2.94,4.33,2.21,-0.0334,Agressive,Happy
