alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Response
2.7,0.371,4.26,3.91,3.04,0.038,Agressive,Happy
3.31,0.302,4.44,4.75,3.08,0.0172,Agressive,Happy
4.13,0.242,4.47,5.96,3.07,0.00928,Agressive,Happy
4.46,0.224,4.42,6.39,3.06,0.0169,Agressive,Happy
4.49,0.223,4.4,6.42,3.1,0.0187,Agressive,Happy
4.6,0.217,4.44,6.44,3.11,0.0166,Agressive,Happy
4.66,0.215,4.47,6.47,3.11,0.0144,Agressive,Happy
4.64,0.216,4.51,6.47,3.18,0.0112,Agressive,Happy
4.64,0.215,4.56,6.48,3.16,0.00608,Agressive,Happy
4.7,0.213,4.56,6.48,3.11,0.00103,Agressive,Happy
4.76,0.21,4.58,6.48,3.01,-0.00243,Agressive,Happy
4.79,0.209,3.57,6.47,2.12,-0.00506,Agressive,Happy
4.58,0.219,3.46,6.2,2.13,-0.00656,Agressive,Happy
4.02,0.249,3.64,5.31,2.28,-0.0248,Agressive,Happy
3.91,0.256,3.64,4.65,2.32,-0.0589,Agressive,Happy
3.87,0.259,3.76,4.63,2.25,-0.0718,Agressive,Happy
3.64,0.275,3.77,4.4,2.32,-0.0729,Agressive,Happy
3.51,0.285,3.79,4.36,2.4,-0.0805,Agressive,Happy
3.53,0.284,3.69,4.29,2.42,-0.0705,Agressive,Happy
3.54,0.283,3.63,4.42,2.41,-0.0551,Agressive,Happy
3.77,0.265,3.71,4.58,2.42,-0.0404,Agressive,Happy
4.09,0.244,3.81,4.7,2.44,-0.0357,Agressive,Happy
4.26,0.235,3.82,4.71,2.51,-0.035,Agressive,Happy
4.32,0.231,3.76,4.72,2.44,-0.0326,Agressive,Happy
4.31,0.232,3.56,4.77,2.37,-0.0305,Agressive,Happy
4.27,0.234,3.58,4.72,2.34,-0.0301,Agressive,Happy
4.25,0.235,3.43,4.72,2.33,-0.0335,Agressive,Happy
4.31,0.232,3.3,4.94,2.13,-0.0362,Agressive,Happy
4.37,0.229,3.52,5.18,2.24,-0.026,Agressive,Happy
4.38,0.228,3.61,5.27,2.17,-0.0193,Agressive,Happy
4.27,0.234,3.63,5.18,2.15,-0.0219,Agressive,Happy
3.98,0.251,3.47,5.11,2.12,-0.026,Agressive,Happy
3.65,0.274,3.29,5.05,2.05,-0.0289,Agressive,Happy
3.49,0.286,3.33,5.01,1.9,-0.034,Agressive,Happy
3.43,0.291,3.39,4.92,1.86,-0.035,Agressive,Happy
3.52,0.284,3.46,4.85,1.8,-0.0311,Agressive,Happy
3.66,0.273,3.51,4.86,1.81,-0.0334,Agressive,Happy
3.66,0.273,3.65,4.79,1.85,-0.0345,Agressive,Happy
3.53,0.283,3.79,4.36,1.78,-0.0391,Agressive,Happy
3.39,0.295,3.78,3.66,1.79,-0.0693,Agressive,Happy
3.5,0.285,3.7,3.43,1.72,-0.0554,Agressive,Happy
3.62,0.276,3.79,3.52,1.83,-0.0218,Agressive,Happy
3.57,0.28,3.8,3.59,1.84,-0.0101,Agressive,Happy
3.51,0.285,3.82,3.57,1.94,0.0165,Agressive,Happy
3.56,0.281,3.85,3.6,1.98,0.043,Agressive,Happy
3.55,0.282,3.9,3.7,2.03,0.0473,Agressive,Happy
3.43,0.292,3.86,3.67,2.06,0.0494,Agressive,Happy
3.33,0.3,3.84,3.59,2.05,0.064,Agressive,Happy
3.42,0.292,3.66,3.58,2.05,0.0742,Agressive,Happy
3.51,0.285,3.59,3.6,1.95,0.0735,Agressive,Happy
3.51,0.284,3.46,3.62,1.83,0.0727,Agressive,Happy
3.39,0.295,3.43,3.64,1.84,0.064,Agressive,Happy
3.32,0.301,3.39,3.71,1.73,0.0528,Agressive,Happy
3.51,0.285,3.6,3.8,1.78,0.0314,Agressive,Happy
3.65,0.274,3.6,3.88,1.66,-0.000783,Agressive,Happy
3.76,0.266,3.5,3.8,1.64,-0.0287,Agressive,Happy
3.87,0.258,3.43,3.76,1.76,-0.029,Agressive,Happy
3.91,0.256,3.38,3.78,1.75,-0.0115,Agressive,Happy
3.88,0.258,3.29,3.78,1.74,-0.00313,Agressive,Happy
3.8,0.263,3.56,3.73,1.65,-0.00231,Agressive,Happy
3.78,0.264,3.56,3.73,1.61,0.00003,Agressive,Happy
3.79,0.264,3.45,3.78,1.56,-0.00231,Agressive,Happy
3.83,0.261,3.51,3.67,1.81,-0.00772,Agressive,Happy
3.87,0.259,3.4,3.63,1.74,-0.00589,Agressive,Happy
3.84,0.26,3.27,3.75,1.79,-0.000997,Agressive,Happy
3.77,0.265,3.34,3.76,1.79,0.00149,Agressive,Happy
3.7,0.27,3.25,3.72,1.74,-0.00676,Agressive,Happy
3.64,0.275,3.23,3.72,1.64,-0.0257,Agressive,Happy
3.59,0.279,3.23,3.8,1.62,-0.0414,Agressive,Happy
3.6,0.278,3.36,3.85,1.68,-0.0425,Agressive,Happy
3.65,0.274,3.17,3.84,1.81,-0.0392,Agressive,Happy
3.7,0.27,3.18,3.8,1.84,-0.0364,Agressive,Happy
3.75,0.267,3.18,3.76,1.84,-0.0246,Agressive,Happy
3.65,0.274,3.21,3.69,1.69,-0.0177,Agressive,Happy
3.48,0.287,3.29,3.44,1.8,-0.0193,Agressive,Happy
3.49,0.286,3.25,3.45,1.78,-0.00731,Agressive,Happy
3.41,0.293,3.34,3.69,1.76,-0.00366,Agressive,Happy
3.3,0.303,3.34,3.97,1.82,0.00239,Agressive,Happy
3.33,0.3,3.33,4.06,1.78,0.0122,Agressive,Happy
3.4,0.294,3.34,4.02,1.81,0.0181,Agressive,Happy
3.44,0.291,3.09,4.01,1.73,0.0258,Agressive,Happy
3.46,0.289,3.15,4.06,1.79,0.0361,Agressive,Happy
3.43,0.291,3.17,4.07,1.92,0.0435,Agressive,Happy
3.37,0.297,3.36,4.05,2.04,0.044,Agressive,Happy
3.33,0.3,3.31,4.04,1.94,0.0425,Agressive,Happy
3.23,0.31,3.27,3.99,1.85,0.0416,Agressive,Happy
3.04,0.329,3.21,4.08,1.83,0.0526,Agressive,Happy
3.03,0.33,3.14,4.17,1.9,0.0815,Agressive,Happy
3.1,0.323,3.17,4.06,1.89,0.111,Agressive,Happy
3.32,0.301,3.29,3.97,1.93,0.112,Agressive,Happy
3.46,0.289,3.31,4,1.91,0.0894,Agressive,Happy
3.45,0.29,3.32,4.04,1.88,0.0677,Agressive,Happy
3.38,0.296,3.23,4.05,1.82,0.0397,Agressive,Happy
3.35,0.299,3.17,4.06,1.6,0.00623,Agressive,Happy
3.41,0.293,2.97,4.19,1.5,-0.0107,Agressive,Happy
3.45,0.29,2.93,4.37,1.65,-0.0116,Agressive,Happy
3.48,0.288,2.96,4.41,1.78,-0.00784,Agressive,Happy
3.45,0.29,3.08,4.22,1.72,-0.0147,Agressive,Happy
3.42,0.292,3.07,4.13,1.69,-0.0263,Agressive,Happy
3.31,0.302,3.11,4.16,1.72,-0.0412,Agressive,Happy
3.08,0.325,3.02,4.13,1.73,-0.0621,Agressive,Happy
2.89,0.346,3.11,4.13,1.8,-0.0632,Agressive,Happy
2.83,0.353,3.11,4.16,1.77,-0.0349,Agressive,Happy
2.71,0.368,3.16,4.17,1.78,-0.015,Agressive,Happy
2.57,0.389,3.24,4.14,1.79,0.00168,Agressive,Happy
2.62,0.381,3.42,4.01,1.81,0.000982,Agressive,Happy
4.71,0.212,3.92,4.84,2.83,0.00503,Agressive,Calm
4.69,0.213,3.9,4.84,2.83,0.00201,Agressive,Calm
4.7,0.213,3.8,4.89,2.8,0.00137,Agressive,Calm
4.75,0.211,3.77,5.09,2.8,0.000486,Agressive,Calm
4.79,0.209,3.69,5.29,2.25,-0.0011,Agressive,Calm
4.77,0.21,3.2,5.19,2.1,-0.000628,Agressive,Calm
4.34,0.23,3.01,4.87,2.11,-0.00281,Agressive,Calm
3.71,0.27,3.09,4.93,2.09,-0.0126,Agressive,Calm
3.5,0.285,3.37,4.97,2.1,-0.0268,Agressive,Calm
3.59,0.279,3.31,4.91,1.92,-0.0447,Agressive,Calm
3.79,0.264,3.37,4.9,1.85,-0.0456,Agressive,Calm
3.95,0.253,3.48,4.95,2.04,-0.043,Agressive,Calm
4,0.25,3.5,4.97,2.08,-0.0441,Agressive,Calm
3.93,0.255,3.46,4.95,2.05,-0.0476,Agressive,Calm
3.87,0.258,3.39,4.75,2.07,-0.046,Agressive,Calm
