alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Response
3.02,0.331,2.79,4.72,2.16,-0.0184,Agressive,Agressive
2.36,0.424,3.1,4.72,2.21,-0.0449,Agressive,Agressive
2.16,0.462,3.26,4.71,2.21,-0.115,Agressive,Agressive
2.4,0.417,3.25,4.69,2.19,-0.125,Agressive,Agressive
2.39,0.419,3.32,4.69,2.22,-0.139,Agressive,Agressive
2.32,0.43,3.29,4.74,2.13,-0.153,Agressive,Agressive
2.39,0.418,3.3,4.78,1.9,-0.155,Agressive,Agressive
2.53,0.395,3.33,4.82,1.97,-0.143,Agressive,Agressive
2.57,0.389,3.36,4.87,1.93,-0.154,Agressive,Agressive
2.68,0.373,3.38,4.76,1.98,-0.142,Agressive,Agressive
2.8,0.357,3.43,4.53,2.14,-0.119,Agressive,Agressive
2.81,0.356,3.33,4.42,2.25,-0.115,Agressive,Agressive
2.84,0.352,3.19,4.5,2.33,-0.102,Agressive,Agressive
2.84,0.352,3.24,4.65,2.43,-0.0846,Agressive,Agressive
2.84,0.352,3.36,4.76,2.43,-0.0714,Agressive,Agressive
2.88,0.347,3.3,4.76,2.57,-0.052,Agressive,Agressive
3.02,0.332,3.38,4.72,2.55,-0.0352,Agressive,Agressive
3.1,0.323,3.36,4.71,2.54,-0.0231,Agressive,Agressive
3.03,0.33,3.37,4.7,2.56,-0.0164,Agressive,Agressive
2.96,0.338,3.36,4.57,2.6,-0.0166,Agressive,Agressive
2.89,0.345,3.47,4.41,2.58,-0.0163,Agressive,Agressive
2.82,0.354,3.32,4.28,2.63,-0.0119,Agressive,Agressive
2.84,0.352,3.32,4.2,2.65,-0.00786,Agressive,Agressive
2.77,0.361,3.33,3.97,2.62,0.00347,Agressive,Agressive
2.66,0.376,3.28,3.64,2.73,0.0208,Agressive,Agressive
2.58,0.388,3.27,3.55,2.82,0.0224,Agressive,Agressive
2.48,0.404,3.25,3.69,2.85,0.017,Agressive,Agressive
2.32,0.431,3.19,3.81,2.86,0.0338,Agressive,Agressive
2.33,0.429,3.42,3.76,2.86,0.035,Agressive,Agressive
2.49,0.402,3.42,3.61,2.87,0.0192,Agressive,Agressive
2.54,0.394,3.35,3.52,2.85,0.0291,Agressive,Agressive
2.61,0.384,3.23,3.52,2.78,0.0326,Agressive,Agressive
