alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Response
3.17,0.315,3.71,3.8,1.96,0.123,Agressive,Agressive
3.16,0.316,3.66,3.87,1.99,0.106,Agressive,Agressive
3.01,0.332,3.8,3.77,1.98,0.0783,Agressive,Agressive
2.9,0.345,3.99,3.62,2.06,0.0424,Agressive,Agressive
2.88,0.347,4.07,3.52,2.13,0.0242,Agressive,Agressive
3.12,0.32,4.22,3.69,2.16,0.00103,Agressive,Agressive
3.53,0.283,4.14,3.91,2.11,-0.00874,Agressive,Agressive
3.65,0.274,4.16,3.91,2.02,-0.00882,Agressive,Agressive
3.62,0.276,4.16,3.88,2.08,-0.00449,Agressive,Agressive
3.57,0.28,4.15,3.91,2.12,-0.00245,Agressive,Agressive
3.58,0.279,4.16,3.77,2.08,0.000699,Agressive,Agressive
3.6,0.278,4.08,3.6,2.1,0.00814,Agressive,Agressive
3.57,0.28,3.9,3.66,2.05,0.0131,Agressive,Agressive
3.55,0.282,3.89,3.78,2.03,0.0128,Agressive,Agressive
3.51,0.285,3.66,3.79,1.99,0.0186,Agressive,Agressive
3.53,0.283,3.55,3.74,2,0.024,Agressive,Agressive
3.38,0.296,3.33,3.36,2.22,0.0359,Agressive,Agressive
3.09,0.323,3.36,3.33,2.19,0.0589,Agressive,Agressive
3.12,0.32,3.4,3.76,2.3,0.0503,Agressive,Agressive
3.19,0.314,3.45,4.06,2.41,0.0455,Agressive,Agressive
3.15,0.317,3.4,4.19,2.35,0.0509,Agressive,Agressive
3.1,0.323,3.32,4.25,2.36,0.0473,Agressive,Agressive
3.07,0.326,3.36,4.32,2.46,0.0411,Agressive,Agressive
3.1,0.323,3.34,4.41,2.47,0.0476,Agressive,Agressive
3.09,0.323,3.34,4.51,2.47,0.0512,Agressive,Agressive
3.06,0.326,3.39,4.56,2.49,0.0393,Agressive,Agressive
2.95,0.338,3.32,4.57,2.35,0.0354,Agressive,Agressive
2.74,0.365,3.27,4.56,2.35,0.0436,Agressive,Agressive
2.38,0.42,3.34,4.45,2.44,0.0632,Agressive,Agressive
2.19,0.456,3.28,4.29,2.42,0.0638,Agressive,Agressive
2.28,0.439,3.4,4.22,2.46,0.0494,Agressive,Agressive
2.29,0.437,3.59,4.32,2.44,0.0544,Agressive,Agressive
2.31,0.433,3.72,4.45,2.5,0.0392,Agressive,Agressive
2.31,0.433,3.66,4.47,2.39,0.0115,Agressive,Agressive
2.29,0.436,3.74,4.43,2.34,-0.0217,Agressive,Agressive
2.57,0.389,3.73,4.44,2.35,-0.0726,Agressive,Agressive
2.87,0.348,3.68,4.41,2.37,-0.0766,Agressive,Agressive
2.96,0.337,3.66,4.4,2.43,-0.0748,Agressive,Agressive
2.98,0.336,3.66,4.42,2.31,-0.0959,Agressive,Agressive
2.91,0.344,3.57,4.4,2.25,-0.128,Agressive,Agressive
2.77,0.362,3.58,4.37,2.07,-0.169,Agressive,Agressive
2.76,0.363,3.44,4.35,2.06,-0.18,Agressive,Agressive
2.81,0.356,3.29,4.22,2.05,-0.167,Agressive,Agressive
2.96,0.338,3.24,3.97,2.1,-0.121,Agressive,Agressive
3.1,0.322,3.2,3.77,2.14,-0.0828,Agressive,Agressive
3.17,0.315,2.98,3.57,2.17,-0.053,Agressive,Agressive
3.14,0.319,3.05,3.2,2.13,-0.0168,Agressive,Agressive
3.11,0.321,3.16,3.06,2.09,0.0111,Agressive,Agressive
3.05,0.327,3.33,3.11,2,0.0264,Agressive,Agressive
3.07,0.325,3.31,3.3,1.97,0.033,Agressive,Agressive
3.11,0.322,3.37,3.38,2.01,0.0381,Agressive,Agressive
3.14,0.318,3.32,3.29,1.93,0.0396,Agressive,Agressive
3.16,0.317,3.26,3.08,1.9,0.0384,Agressive,Agressive
3.09,0.324,3.12,3.04,1.88,0.047,Agressive,Agressive
2.93,0.341,3.02,3.12,1.75,0.0543,Agressive,Agressive
2.8,0.357,3.01,3.19,1.78,0.0503,Agressive,Agressive
2.76,0.362,3.07,3.34,1.78,0.0356,Agressive,Agressive
2.76,0.362,2.97,3.38,1.74,0.0119,Agressive,Agressive
2.76,0.362,2.76,3.38,1.74,-0.00364,Agressive,Agressive
2.8,0.357,2.67,3.27,1.81,0.00754,Agressive,Agressive
2.77,0.361,3.3,2.99,1.89,0.0286,Agressive,Agressive
2.71,0.368,3.37,2.86,1.89,0.0278,Agressive,Agressive
2.66,0.377,3.37,2.95,1.93,0.0352,Agressive,Agressive
2.63,0.38,3.46,2.93,1.83,0.0372,Agressive,Agressive
2.7,0.37,3.58,3.02,1.85,0.0226,Agressive,Agressive
2.69,0.372,3.64,3.35,1.89,0.0251,Agressive,Agressive
2.64,0.379,3.63,3.54,1.94,0.0256,Agressive,Agressive
2.45,0.409,3.6,3.47,1.95,0.0253,Agressive,Agressive
2.09,0.478,3.6,3.43,1.97,0.0253,Agressive,Agressive
2.05,0.489,3.59,3.44,2.02,0.0145,Agressive,Agressive
2.1,0.476,3.49,3.56,1.88,-0.0589,Agressive,Agressive
2.25,0.445,2.96,3.77,1.85,-0.102,Agressive,Agressive
2.35,0.426,2.86,4.05,1.86,-0.108,Agressive,Agressive
2.49,0.401,3.11,4.23,1.96,-0.108,Agressive,Agressive
2.45,0.408,3.09,4.22,1.93,-0.106,Agressive,Agressive
2.67,0.374,2.85,4.16,1.86,-0.0459,Agressive,Agressive
3.07,0.326,3.03,4.02,1.86,-0.00629,Agressive,Agressive
3.26,0.306,3.12,3.96,1.77,0.00671,Agressive,Agressive
3.28,0.304,3.14,4,1.9,0.0104,Agressive,Agressive
3.29,0.304,3.09,4.08,1.86,0.00903,Agressive,Agressive
3.27,0.306,3.1,4.09,2.04,0.012,Agressive,Agressive
3.21,0.312,3.23,3.99,2.2,0.0194,Agressive,Agressive
3.18,0.315,3.26,3.79,2.25,0.0262,Agressive,Agressive
3.22,0.31,3.28,3.48,2.25,0.035,Agressive,Agressive
3.47,0.289,3.37,3.32,2.25,0.034,Agressive,Agressive
3.86,0.259,3.43,3.71,2.29,0.0221,Agressive,Agressive
4.07,0.246,3.44,4.09,2.27,0.0185,Agressive,Agressive
4.09,0.244,3.51,4.17,2.28,0.0201,Agressive,Agressive
4.05,0.247,3.47,4.24,2.22,0.0205,Agressive,Agressive
4.07,0.246,3.47,4.27,2.12,0.0213,Agressive,Agressive
4.12,0.243,3.48,4.24,2.07,0.0206,Agressive,Agressive
4.14,0.242,3.52,4.23,1.89,0.0192,Agressive,Agressive
4.13,0.242,3.46,4.36,1.85,0.0197,Agressive,Agressive
4.11,0.243,3.52,4.59,1.79,0.0199,Agressive,Agressive
4.07,0.246,3.36,4.78,1.81,0.0197,Agressive,Agressive
3.9,0.257,3.38,4.9,1.81,0.023,Agressive,Agressive
3.43,0.291,3.38,4.82,1.79,0.0357,Agressive,Agressive
2.7,0.371,3.28,4.65,1.81,0.0563,Agressive,Agressive
2.36,0.424,3.17,4.63,1.79,0.0544,Agressive,Agressive
2.28,0.438,3.26,4.66,1.96,0.0368,Agressive,Agressive
2.09,0.479,3.26,4.67,1.97,0.042,Agressive,Agressive
2.11,0.475,3.24,4.69,1.94,0.0687,Agressive,Agressive
2.31,0.432,3.28,4.68,1.96,0.0792,Agressive,Agressive
2.56,0.391,3.22,4.54,2.01,0.0506,Agressive,Agressive
2.67,0.375,3.21,4.32,1.93,0.0184,Agressive,Agressive
2.71,0.369,3.14,4.05,1.9,-0.00189,Agressive,Agressive
2.79,0.358,2.93,3.76,1.96,-0.0238,Agressive,Agressive
2.72,0.367,3.12,3.63,1.68,-0.0341,Agressive,Sad
2.68,0.372,3.11,3.55,1.65,-0.0356,Agressive,Sad
2.71,0.368,3.08,3.55,1.72,-0.021,Agressive,Sad
2.64,0.378,3.06,3.57,1.68,-0.00647,Agressive,Sad
2.32,0.431,3.11,3.44,1.68,0.00727,Agressive,Sad
2.04,0.491,3.01,3.36,1.64,0.00842,Agressive,Sad
1.96,0.511,2.93,3.38,1.68,0.00811,Agressive,Sad
1.94,0.517,2.88,3.47,1.75,0.0144,Agressive,Sad
2.21,0.452,2.78,3.5,1.74,-0.00205,Agressive,Sad
2.52,0.397,2.84,3.5,1.69,-0.0096,Agressive,Sad
2.66,0.376,2.82,3.51,1.68,-0.0121,Agressive,Sad
2.69,0.371,2.91,3.48,1.73,-0.0201,Agressive,Sad
2.83,0.353,2.98,3.39,1.79,-0.0316,Agressive,Sad
2.94,0.34,3.08,3.33,1.77,-0.0354,Agressive,Sad
2.95,0.339,3.17,3.35,1.82,-0.0403,Agressive,Sad
2.95,0.339,3.28,3.31,1.98,-0.0364,Agressive,Sad
2.96,0.338,3.33,3.18,2.03,-0.0326,Agressive,Sad
2.97,0.336,3.22,3.08,2.02,-0.0308,Agressive,Sad
2.97,0.337,3.19,3.07,2.07,-0.026,Agressive,Sad
2.79,0.359,3.21,3.1,2.05,-0.021,Agressive,Sad
2.65,0.378,3.3,3.3,2.05,-0.0123,Agressive,Sad
2.8,0.357,3.31,3.42,2.21,-0.0182,Agressive,Sad
2.91,0.344,3.31,3.48,2.26,-0.0261,Agressive,Sad
