alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Response
2.72,0.368,2.55,3.99,1.64,-0.0549,Agressive,Agressive
2.91,0.344,2.54,4.14,1.86,-0.0392,Agressive,Agressive
3.25,0.308,2.54,4.14,2.16,-0.0248,Agressive,Agressive
3.31,0.302,3.01,4.02,2.17,-0.0232,Agressive,Agressive
3.55,0.281,3.08,4,2.27,-0.0262,Agressive,Agressive
3.86,0.259,3.14,4.4,2.31,-0.0144,Agressive,Agressive
3.96,0.252,3.26,4.84,2.42,-0.00787,Agressive,Agressive
3.97,0.252,3.27,5.09,2.4,-0.00665,Agressive,Agressive
4,0.25,3.39,5.24,2.4,-0.00845,Agressive,Agressive
4.03,0.248,3.47,5.32,2.36,-0.00841,Agressive,Agressive
4.03,0.248,3.59,5.36,2.32,-0.00643,Agressive,Agressive
4.01,0.249,3.69,5.35,2.25,-0.00638,Agressive,Agressive
3.88,0.257,3.7,5.32,2.13,-0.00758,Agressive,Agressive
3.74,0.267,3.64,5.3,2.04,-0.0106,Agressive,Agressive
3.67,0.273,3.47,5.29,2,-0.00915,Agressive,Agressive
3.39,0.295,3.45,5.18,1.89,-0.0038,Agressive,Agressive
2.83,0.354,3.41,4.85,1.9,-0.00804,Agressive,Agressive
2.65,0.378,3.36,4.51,1.76,-0.0254,Agressive,Agressive
2.67,0.374,3.35,4.33,1.94,-0.0213,Agressive,Agressive
2.42,0.412,3.2,4.3,2,-0.0131,Agressive,Agressive
2.26,0.443,3.13,4.21,1.98,-0.0303,Agressive,Agressive
2.39,0.418,2.73,4.12,2.12,-0.0947,Agressive,Agressive
2.47,0.404,2.72,4.08,2.29,-0.12,Agressive,Agressive
2.58,0.387,2.79,4.17,2.28,-0.1,Agressive,Agressive
2.61,0.383,2.89,4.38,2.32,-0.09,Agressive,Agressive
2.65,0.377,2.97,4.41,2.51,-0.0827,Agressive,Agressive
2.8,0.357,2.97,4.41,2.54,-0.0639,Agressive,Agressive
2.82,0.354,3.04,4.45,2.57,-0.0611,Agressive,Agressive
2.73,0.367,3.08,4.41,2.55,-0.0693,Agressive,Agressive
2.8,0.358,3.07,4.27,2.53,-0.0499,Agressive,Agressive
2.94,0.34,3.08,4.05,2.63,-0.0449,Agressive,Agressive
2.91,0.343,3.02,4.1,2.66,-0.0341,Agressive,Agressive
2.94,0.34,3.05,4.31,2.54,0.00917,Agressive,Agressive
3.04,0.329,3.08,4.41,2.46,0.0349,Agressive,Agressive
3.05,0.328,2.95,4.27,2.39,0.0359,Agressive,Agressive
3.02,0.331,2.88,4.07,2.36,0.0367,Agressive,Agressive
3.11,0.322,2.9,4.05,2.27,0.0173,Agressive,Agressive
3.11,0.321,2.88,4,2.3,-0.00245,Agressive,Agressive
3.08,0.325,2.93,3.97,2.3,-0.00922,Agressive,Agressive
3.09,0.324,3.02,3.8,2.31,-0.0162,Agressive,Agressive
2.99,0.335,3,3.63,2.17,-0.0257,Agressive,Agressive
2.94,0.34,3.03,3.73,2.11,-0.0191,Agressive,Agressive
2.99,0.334,3.19,3.61,2.08,-0.0213,Agressive,Agressive
2.85,0.351,3.24,3.41,2.19,-0.0574,Agressive,Agressive
2.67,0.375,3.25,3.58,2.2,-0.0959,Agressive,Agressive
2.72,0.367,3.26,3.81,2.17,-0.092,Agressive,Agressive
2.79,0.358,3.25,3.88,2.19,-0.0934,Agressive,Agressive
2.72,0.367,3.24,3.89,2.28,-0.0939,Agressive,Agressive
2.76,0.363,3.33,3.88,2.21,-0.0844,Agressive,Agressive
2.94,0.34,3.34,3.88,2.15,-0.0794,Agressive,Agressive
3.03,0.331,3.25,3.89,2.21,-0.0585,Agressive,Agressive
3.11,0.322,3.22,3.9,2.32,-0.0499,Agressive,Agressive
3.11,0.322,3.27,3.84,2.3,-0.0616,Agressive,Agressive
3.03,0.329,3.15,3.73,2.3,-0.0685,Agressive,Agressive
3.06,0.327,3.19,3.52,2.21,-0.0691,Agressive,Agressive
3.18,0.315,3.16,3.31,2.22,-0.0757,Agressive,Agressive
3.24,0.309,3.22,3.29,2.26,-0.0715,Agressive,Agressive
3.19,0.313,3.26,3.41,2.31,-0.0637,Agressive,Agressive
3.07,0.325,3.26,3.38,2.19,-0.0553,Agressive,Agressive
2.9,0.345,3.2,3.36,2.24,-0.0494,Agressive,Agressive
2.75,0.364,3.13,3.37,2.25,-0.0564,Agressive,Agressive
2.65,0.378,3.04,3.38,2.19,-0.0888,Agressive,Agressive
2.69,0.372,3.09,3.3,2.15,-0.103,Agressive,Agressive
2.82,0.355,3,3.2,2.14,-0.0908,Agressive,Agressive
2.82,0.354,3.29,3.13,2.17,-0.0868,Agressive,Agressive
2.73,0.367,3.22,3.21,2.21,-0.0866,Agressive,Agressive
2.51,0.399,3.27,3.23,2.25,-0.0815,Agressive,Agressive
2.25,0.444,3.12,3.17,2.17,-0.0997,Agressive,Agressive
2.17,0.462,3.14,3.18,2.02,-0.146,Agressive,Agressive
2.21,0.452,3.05,3.4,1.97,-0.152,Agressive,Agressive
2.31,0.433,3.08,3.66,1.87,-0.128,Agressive,Agressive
2.31,0.433,3.11,3.75,1.87,-0.121,Agressive,Agressive
2.2,0.455,3.15,3.75,1.78,-0.096,Agressive,Agressive
1.91,0.523,3.12,3.77,1.8,-0.0618,Agressive,Agressive
1.74,0.576,3.05,3.93,1.74,0.0329,Agressive,Agressive
2.24,0.447,2.81,3.96,1.78,0.0302,Agressive,Agressive
2.67,0.374,2.9,3.99,1.75,0.0156,Agressive,Agressive
2.73,0.366,2.95,4.13,1.66,0.000943,Agressive,Agressive
2.81,0.356,3.04,4.15,1.62,0.00102,Agressive,Agressive
2.84,0.352,3.01,4.16,1.67,0.00341,Agressive,Agressive
2.85,0.351,3.19,4.18,1.56,0.00226,Agressive,Agressive
2.96,0.338,3.33,4.26,1.55,0.0226,Agressive,Agressive
3.02,0.331,3.34,4.48,1.74,0.0341,Agressive,Agressive
3.15,0.317,3.33,4.67,2.12,0.0316,Agressive,Agressive
