alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Response
3.3,0.303,3.38,3.58,2.18,-0.0211,Agressive,Agressive
3.36,0.298,3.38,4.02,2.23,-0.00237,Agressive,Agressive
3.42,0.293,3.39,4.29,2.42,0.00173,Agressive,Agressive
3.37,0.297,3.38,4.45,2.42,0.00359,Agressive,Agressive
3.38,0.296,3.29,4.89,2.45,0.00983,Agressive,Agressive
3.52,0.284,3.08,5.23,2.43,-0.00393,Agressive,Agressive
3.61,0.277,2.96,5.31,2.33,-0.0224,Agressive,Agressive
3.54,0.282,2.93,5.33,2.27,-0.0353,Agressive,Agressive
3.56,0.281,2.8,5.34,2.24,-0.024,Agressive,Agressive
3.71,0.269,2.7,5.33,2.18,-0.00678,Agressive,Agressive
3.92,0.255,3.1,5.31,2.1,0.00138,Agressive,Agressive
4.01,0.249,3.21,5.27,2.16,-0.00121,Agressive,Agressive
3.99,0.25,3.28,5.16,2.26,-0.00904,Agressive,Agressive
3.99,0.251,3.28,5.1,2.02,-0.0123,Agressive,Agressive
3.96,0.252,3.33,5.03,1.95,-0.0133,Agressive,Agressive
3.95,0.253,3.36,4.59,1.86,-0.0126,Agressive,Agressive
3.93,0.254,3.26,3.94,1.92,-0.000265,Agressive,Agressive
4,0.25,3.32,4.02,1.92,0.0119,Agressive,Agressive
4.01,0.25,3.31,4.16,1.97,0.0152,Agressive,Agressive
3.9,0.257,3.32,4.19,1.98,0.0126,Agressive,Agressive
3.74,0.268,3.1,4.33,2.04,0.00376,Agressive,Agressive
3.6,0.278,2.93,4.58,2.04,0.00232,Agressive,Agressive
3.63,0.275,2.75,4.62,2.07,0.0134,Agressive,Agressive
3.67,0.272,2.69,4.6,2.02,0.0298,Agressive,Agressive
3.74,0.268,2.74,4.75,2.07,0.043,Agressive,Agressive
3.84,0.261,2.58,5.03,2.13,0.0499,Agressive,Agressive
3.82,0.262,2.61,5.16,2.16,0.0546,Agressive,Agressive
3.72,0.269,2.81,5.13,2.27,0.058,Agressive,Agressive
3.62,0.276,2.91,5.04,2.27,0.0601,Agressive,Agressive
3.71,0.269,2.99,4.99,2.3,0.0492,Agressive,Agressive
3.75,0.266,3.05,4.99,2.46,0.0452,Agressive,Agressive
3.71,0.27,3.22,4.86,2.53,0.0488,Agressive,Agressive
3.54,0.283,3.3,4.7,2.61,0.0489,Agressive,Agressive
3.4,0.295,3.44,4.67,2.65,0.0302,Agressive,Agressive
3.37,0.297,3.52,4.62,2.54,0.00661,Agressive,Agressive
3.29,0.304,3.57,4.24,2.53,-0.00953,Agressive,Agressive
3.09,0.324,3.55,3.4,2.52,-0.0252,Agressive,Agressive
2.78,0.36,3.59,2.85,2.43,-0.0489,Agressive,Agressive
2.68,0.373,3.48,2.9,2.43,-0.052,Agressive,Agressive
2.44,0.41,3.42,2.73,2.43,-0.0705,Agressive,Agressive
2.01,0.498,3.56,2.73,2.38,-0.102,Agressive,Agressive
2.07,0.483,3.49,2.64,2.28,-0.0921,Agressive,Agressive
2.45,0.408,3.39,2.51,2.24,-0.0652,Agressive,Agressive
2.67,0.374,3.27,2.74,2.08,-0.0384,Agressive,Agressive
2.7,0.371,3.19,3.41,2.06,-0.0158,Agressive,Agressive
2.69,0.371,3.16,4.4,2.11,-0.00386,Agressive,Agressive
3.19,0.313,3.09,4.99,2.09,0.0045,Agressive,Agressive
3.67,0.273,3.2,5.09,2.12,0.0163,Agressive,Agressive
3.93,0.254,3.15,5.14,2.08,0.0189,Agressive,Agressive
4.07,0.246,3.12,5.22,2.06,0.0199,Agressive,Agressive
4.09,0.244,3.07,5.25,2.08,0.0212,Agressive,Agressive
4.12,0.243,2.97,5.26,2.24,0.0201,Agressive,Agressive
4.12,0.243,2.93,5.26,2.28,0.022,Agressive,Agressive
