alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Response
3.59,0.279,3.94,4.73,3.33,0.00979,Agressive,Happy
3.84,0.261,4.06,4.94,3.4,0.0089,Agressive,Happy
4.29,0.233,4.21,4.99,3.39,-0.00185,Agressive,Happy
4.45,0.224,4.24,5.25,3.5,-0.00858,Agressive,Happy
4.43,0.226,4.29,5.52,3.54,-0.00591,Agressive,Happy
4.51,0.222,4.37,5.53,3.59,0.00372,Agressive,Happy
4.55,0.22,4.4,5.59,3.73,0.00804,Agressive,Happy
4.54,0.22,4.8,5.69,4.6,0.0101,Agressive,Happy
4.76,0.21,5.29,5.74,4.67,0.0103,Agressive,Happy
5.77,0.173,5.28,7.04,4.61,0.00229,Agressive,Happy
6.37,0.157,5.26,7.98,4.56,0.000716,Agressive,Happy
6.46,0.155,5.2,8.2,4.53,0.000701,Agressive,Happy
6.49,0.154,5.16,8.25,4.53,0.000475,Agressive,Happy
6.49,0.154,5.1,8.31,4.48,0.000208,Agressive,Happy
6.52,0.153,5.08,8.33,4.44,0.000009,Agressive,Happy
6.53,0.153,5.06,8.34,4.4,-0.000308,Agressive,Happy
6.52,0.153,5.03,8.35,4.38,-0.000607,Agressive,Happy
6.51,0.154,5.02,8.35,4.32,-0.0008,Agressive,Happy
6.52,0.153,4.27,8.34,2.43,-0.000894,Agressive,Happy
6.38,0.157,3.3,8.26,2.32,-0.00117,Agressive,Happy
5.77,0.173,3.25,7.71,2.45,-0.00199,Agressive,Happy
5.13,0.195,3.47,6.86,2.55,-0.00523,Agressive,Happy
4.82,0.207,3.48,6.7,2.61,-0.0108,Agressive,Happy
4.57,0.219,3.48,6.3,2.61,-0.0101,Agressive,Happy
4.03,0.248,3.48,5.64,2.6,-0.00151,Agressive,Happy
3.84,0.26,3.45,5.23,2.61,0.00659,Agressive,Happy
3.52,0.284,3.49,4.76,2.65,0.015,Agressive,Happy
3.52,0.284,3.45,4.29,2.63,0.0206,Agressive,Happy
3.62,0.276,3.48,4.24,2.85,0.0261,Agressive,Happy
3.52,0.284,3.53,4.26,3.03,0.0226,Agressive,Happy
3.44,0.291,3.5,3.97,3.01,0.0191,Agressive,Happy
3.36,0.297,3.25,3.99,2.95,0.0231,Agressive,Happy
3.15,0.318,3.2,4.43,2.96,0.0264,Agressive,Happy
3.07,0.326,3.18,4.78,3.33,0.0389,Agressive,Happy
3.08,0.325,3.27,4.83,3.5,0.0526,Agressive,Happy
3.09,0.323,3.41,4.86,3.58,0.0244,Agressive,Happy
3.13,0.319,3.4,4.95,3.6,0.00346,Agressive,Happy
3.07,0.326,3.34,4.96,3.6,-0.00542,Agressive,Happy
2.78,0.36,3.36,4.93,3.6,-0.0311,Agressive,Happy
2.47,0.405,3.31,4.89,3.45,-0.0482,Agressive,Happy
2.43,0.412,3.28,4.86,3.4,-0.0561,Agressive,Happy
2.41,0.415,3.29,4.83,3.41,-0.078,Agressive,Happy
2.43,0.411,3.44,4.66,3.47,-0.0828,Agressive,Happy
2.41,0.414,3.4,4.24,3.4,-0.0771,Agressive,Happy
2.63,0.38,3.32,3.98,2.89,-0.0932,Agressive,Happy
2.98,0.336,3.38,3.91,2.67,-0.104,Agressive,Happy
3.02,0.331,3.29,3.64,2.6,-0.0776,Agressive,Happy
3.01,0.333,3.38,3.41,2.64,-0.0642,Agressive,Happy
3.1,0.323,3.49,3.46,2.66,-0.0613,Agressive,Happy
3.15,0.318,3.45,3.73,2.65,-0.058,Agressive,Happy
3.16,0.317,3.47,3.94,2.66,-0.0503,Agressive,Happy
3.28,0.305,3.61,3.93,2.59,-0.0342,Agressive,Happy
3.3,0.303,3.58,3.9,2.52,-0.0225,Agressive,Happy
3.3,0.303,3.43,3.91,2.32,-0.0261,Agressive,Happy
3.29,0.304,3.38,3.88,2.32,-0.0319,Agressive,Happy
3.08,0.324,3.46,3.83,2.33,-0.029,Agressive,Happy
2.89,0.346,3.4,3.81,2.39,-0.0184,Agressive,Happy
2.93,0.341,3.39,3.84,2.18,-0.0182,Agressive,Happy
3.1,0.323,3.42,3.87,2.18,-0.00797,Agressive,Happy
3.25,0.308,3.24,3.86,1.97,0.0124,Agressive,Happy
3.4,0.294,3.37,3.59,2.12,0.0159,Agressive,Happy
3.36,0.297,3.55,3.26,2.15,0.0178,Agressive,Happy
3.35,0.299,3.5,3.17,2.25,0.0113,Agressive,Happy
3.53,0.283,3.47,3.13,2.24,0.000896,Agressive,Happy
3.61,0.277,3.53,3.35,2.3,0.00859,Agressive,Happy
3.67,0.272,3.48,3.55,2.3,0.0115,Agressive,Happy
3.74,0.267,3.41,3.82,2.31,0.00719,Agressive,Happy
3.71,0.269,3.46,4.04,2.37,0.00535,Agressive,Happy
3.7,0.27,3.64,4.24,2.38,0.00615,Agressive,Happy
3.73,0.268,3.73,4.33,2.58,-0.0127,Agressive,Happy
3.71,0.27,3.78,4.29,3.03,-0.0358,Agressive,Happy
3.69,0.271,3.76,4.36,3.21,-0.0502,Agressive,Happy
3.68,0.272,3.6,4.38,3.27,-0.0551,Agressive,Happy
3.61,0.277,3.62,4.42,3.28,-0.0542,Agressive,Happy
3.48,0.287,3.62,4.58,3.36,-0.0614,Agressive,Happy
3.34,0.299,3.56,4.65,3.52,-0.0756,Agressive,Happy
3.16,0.316,3.49,4.56,3.61,-0.0934,Agressive,Happy
3.15,0.318,3.48,4.4,3.72,-0.0735,Agressive,Happy
3.25,0.308,3.51,4.25,3.77,-0.0561,Agressive,Happy
3.26,0.306,3.16,4.04,3.77,-0.0504,Agressive,Happy
3.11,0.322,3.13,3.96,3.67,-0.0358,Agressive,Happy
2.85,0.351,3.11,3.97,3.6,-0.00943,Agressive,Happy
2.75,0.364,2.93,3.88,3.44,0.0211,Agressive,Happy
2.77,0.361,2.83,3.86,3.41,0.0185,Agressive,Happy
2.77,0.36,2.93,3.71,3.4,0.00771,Agressive,Happy
2.73,0.366,3.17,3.35,3.32,0.00307,Agressive,Happy
2.83,0.354,3.22,3.01,3.11,0.00781,Agressive,Happy
3.07,0.325,3.26,3.17,2.82,0.00812,Agressive,Happy
3.19,0.314,3.26,3.54,2.54,0.00637,Agressive,Happy
3.12,0.321,3.25,3.58,2.4,-0.00121,Agressive,Happy
3.16,0.316,3.3,3.64,2.12,-0.00255,Agressive,Happy
3.25,0.307,3.25,3.82,1.94,-0.0119,Agressive,Happy
3.34,0.3,3.24,3.87,1.74,-0.019,Agressive,Happy
3.37,0.296,3.4,3.81,1.79,-0.0198,Agressive,Happy
3.35,0.299,3.46,3.85,1.67,-0.0149,Agressive,Happy
3.33,0.3,3.41,3.88,1.48,-0.00433,Agressive,Happy
3.38,0.296,3.33,4.01,1.94,-0.00082,Agressive,Happy
3.37,0.296,3.28,4.32,2.08,-0.0161,Agressive,Happy
3.19,0.314,3.22,4.38,2.1,-0.0451,Agressive,Happy
3.12,0.32,3.17,4.38,2.19,-0.0564,Agressive,Happy
3.07,0.325,3.18,4.41,2.25,-0.0591,Agressive,Happy
2.92,0.343,3.13,4.4,2.29,-0.0856,Agressive,Happy
2.83,0.354,3.18,4.41,2.61,-0.0975,Agressive,Happy
2.82,0.355,3.17,4.47,3.76,-0.0834,Agressive,Happy
2.86,0.349,2.94,4.55,3.86,-0.0756,Agressive,Happy
2.91,0.344,2.92,4.81,3.87,-0.0923,Agressive,Happy
3.71,0.269,3.64,6.55,2.99,0.0156,Agressive,Calm
3.71,0.27,3.68,6.48,3,0.0155,Agressive,Calm
3.62,0.276,3.6,6.37,2.57,0.0185,Agressive,Calm
3.24,0.309,3.61,6.27,2.68,0.0219,Agressive,Calm
2.75,0.363,3.58,6.26,2.71,0.0173,Agressive,Calm
2.79,0.358,3.44,6.08,2.57,0.0365,Agressive,Calm
2.68,0.374,3.14,5.63,2.54,0.0479,Agressive,Calm
2.47,0.405,3.13,5.21,2.49,0.0421,Agressive,Calm
2.37,0.421,3.28,5.15,2.42,0.0588,Agressive,Calm
2.34,0.427,3.36,5.1,2.42,0.0673,Agressive,Calm
2.4,0.416,3.51,5.01,2.97,0.0653,Agressive,Calm
3.25,0.308,3.51,5.22,2.95,0.0285,Agressive,Calm
3.94,0.254,3.48,6.04,2.96,0.00296,Agressive,Calm
4.11,0.243,3.4,6.52,2.92,-0.00724,Agressive,Calm
4.22,0.237,3.4,6.66,2.93,-0.0108,Agressive,Calm
4.21,0.237,3.47,6.79,3.06,-0.0142,Agressive,Calm
4.19,0.238,3.55,6.97,3.07,-0.0178,Agressive,Calm
4.21,0.237,3.73,7.08,3.22,-0.0184,Agressive,Calm
4.24,0.236,3.74,7.12,3.21,-0.0179,Agressive,Calm
4.26,0.234,3.59,7.12,3.27,-0.015,Agressive,Calm
4.27,0.234,3.56,7.12,3.48,-0.013,Agressive,Calm
4.2,0.238,3.42,7.11,3.33,-0.0162,Agressive,Calm
3.94,0.254,3.44,7.02,3.38,-0.023,Agressive,Calm
3.75,0.267,3.63,6.72,3.4,-0.0226,Agressive,Calm
3.96,0.253,3.65,6.41,3.42,-0.0227,Agressive,Calm
4.06,0.246,3.68,6.35,3.34,-0.0238,Agressive,Calm
4.07,0.246,3.6,6.28,3.31,-0.022,Agressive,Calm
4.28,0.234,3.56,6.12,3.38,-0.0185,Agressive,Calm
4.41,0.227,3.45,5.83,3.4,-0.0172,Agressive,Calm
4.41,0.227,3.51,5.79,3.43,-0.0174,Agressive,Calm
4.41,0.227,3.66,6.18,3.36,-0.0157,Agressive,Calm
4.41,0.227,3.76,6.58,3.15,-0.0119,Agressive,Calm
4.41,0.227,3.75,6.8,3.05,-0.0127,Agressive,Calm
4.36,0.229,3.74,6.86,3.01,-0.0163,Agressive,Calm
4.09,0.244,3.46,6.88,3.12,-0.0175,Agressive,Calm
3.79,0.264,3.52,6.86,3.35,-0.0144,Agressive,Calm
3.73,0.268,3.73,6.82,3.45,-0.0105,Agressive,Calm
3.71,0.269,3.8,6.73,3.66,-0.0067,Agressive,Calm
3.62,0.276,3.78,6.68,3.66,0.00558,Agressive,Calm
3.57,0.28,3.99,6.71,3.67,0.0191,Agressive,Calm
3.75,0.267,3.97,6.68,3.66,0.0152,Agressive,Calm
3.89,0.257,4.07,6.46,3.98,0.00741,Agressive,Calm
3.98,0.252,4.22,6,4.11,0.00357,Agressive,Calm
3.99,0.251,4.44,5.41,4.34,0.00631,Agressive,Calm
4,0.25,4.45,5.2,4.35,0.00913,Agressive,Calm
4.16,0.24,4.46,5.44,4.3,-0.0036,Agressive,Calm
4.36,0.229,4.45,5.74,4.18,-0.0128,Agressive,Calm
4.43,0.226,4.35,5.84,4.15,-0.0161,Agressive,Calm
4.42,0.226,4.3,5.78,4.03,-0.0189,Agressive,Calm
4.27,0.234,4.39,5.65,3.97,-0.028,Agressive,Calm
4.15,0.241,4.25,5.64,3.93,-0.0393,Agressive,Calm
4.01,0.249,4.19,5.67,3.82,-0.0472,Agressive,Calm
3.89,0.257,4.07,5.66,3.41,-0.0531,Agressive,Calm
3.87,0.258,3.68,5.62,2.58,-0.0525,Agressive,Calm
3.94,0.254,3.4,5.61,1.93,-0.0496,Agressive,Calm
3.91,0.256,3.37,5.54,1.92,-0.047,Agressive,Calm
3.68,0.272,3.32,5.23,1.96,-0.0383,Agressive,Calm
3.47,0.288,3.31,4.85,1.92,-0.00961,Agressive,Calm
3.44,0.291,3.2,4.7,1.97,0.012,Agressive,Calm
3.44,0.291,3.18,4.77,1.88,0.027,Agressive,Calm
3.47,0.288,2.95,4.76,1.84,0.0238,Agressive,Calm
3.52,0.284,2.94,4.69,1.9,0.0172,Agressive,Calm
3.57,0.28,2.87,4.73,1.89,0.0162,Agressive,Calm
3.63,0.276,2.81,4.75,1.92,0.0183,Agressive,Calm
3.63,0.276,2.85,4.72,1.94,0.0304,Agressive,Calm
3.54,0.283,2.85,4.7,1.89,0.0435,Agressive,Calm
3.49,0.286,2.87,4.59,1.93,0.0425,Agressive,Calm
3.44,0.291,2.85,4.5,2.01,0.0457,Agressive,Calm
3.26,0.306,2.88,4.52,1.98,0.0514,Agressive,Calm
3.06,0.327,3.15,4.5,2.05,0.0466,Agressive,Calm
3.21,0.312,3.06,4.3,2.01,0.0352,Agressive,Calm
3.42,0.292,3.08,3.94,1.93,0.0347,Agressive,Calm
3.47,0.288,3.05,3.69,1.93,0.0379,Agressive,Calm
3.41,0.294,2.97,3.75,1.92,0.0408,Agressive,Calm
3.38,0.296,3.01,3.77,2.02,0.0285,Agressive,Calm
3.37,0.297,3.16,3.68,2.02,0.011,Agressive,Calm
3.39,0.295,3.24,3.68,2.09,0.000989,Agressive,Calm
3.52,0.284,3.29,3.77,1.94,-0.00855,Agressive,Calm
3.56,0.281,3.28,3.9,1.9,-0.00762,Agressive,Calm
3.55,0.282,3.34,3.99,1.71,-0.00508,Agressive,Calm
