alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Response
3.38,0.296,3.09,3.95,1.99,0.055,Agressive,Agressive
3.32,0.302,2.9,3.83,1.93,0.0562,Agressive,Agressive
3.16,0.317,2.45,3.81,1.83,0.0741,Agressive,Agressive
2.87,0.348,2.46,3.88,1.79,0.116,Agressive,Agressive
2.82,0.355,2.57,3.84,1.42,0.138,Agressive,Agressive
2.73,0.366,2.52,3.8,1.42,0.155,Agressive,Agressive
2.44,0.409,2.42,3.91,1.44,0.204,Agressive,Agressive
2.3,0.434,2.47,4.19,1.51,0.226,Agressive,Agressive
2.4,0.416,2.52,4.38,1.7,0.215,Agressive,Agressive
2.38,0.421,2.66,4.47,1.97,0.263,Agressive,Agressive
2.35,0.425,3.01,4.53,2.08,0.207,Agressive,Agressive
2.73,0.367,3.07,4.53,2.07,0.0814,Agressive,Agressive
2.91,0.344,3.11,4.49,2.18,0.0527,Agressive,Agressive
2.94,0.34,3.13,4.43,2.27,0.0343,Agressive,Agressive
3.06,0.327,3.17,4.4,2.5,0.0193,Agressive,Agressive
3.15,0.317,3.45,4.39,3.16,0.00951,Agressive,Agressive
3.16,0.316,3.54,4.31,3.2,0.00307,Agressive,Agressive
2.15,0.465,3.19,3.86,2.35,-0.0592,Agressive,Agressive
1.91,0.524,3.21,3.89,2.32,-0.0545,Agressive,Agressive
1.82,0.548,3.22,3.83,2.31,-0.0489,Agressive,Agressive
1.81,0.554,3.23,3.72,2.3,-0.0449,Agressive,Agressive
1.81,0.552,3.3,3.61,2.35,-0.07,Agressive,Agressive
1.88,0.533,3.25,3.47,2.34,-0.105,Agressive,Agressive
1.97,0.508,3.1,3.44,2.25,-0.103,Agressive,Agressive
2.09,0.478,3.13,3.76,2.28,-0.0751,Agressive,Agressive
2.11,0.474,3.14,3.92,2.38,-0.056,Agressive,Agressive
2.29,0.438,3.17,3.97,2.36,0.0458,Agressive,Agressive
2.39,0.418,3.15,4.02,2.24,0.115,Agressive,Agressive
2.47,0.405,3.14,3.98,2.29,0.12,Agressive,Agressive
2.58,0.388,3.21,3.98,2.2,0.0842,Agressive,Agressive
2.81,0.356,3.19,4.02,2.16,0.0542,Agressive,Agressive
2.87,0.348,3.2,4.1,2.15,0.0466,Agressive,Agressive
2.88,0.348,3.2,4.14,2.19,0.0583,Agressive,Agressive
2.93,0.341,3.21,4.17,2.18,0.0601,Agressive,Agressive
2.97,0.337,3.08,4.23,2.17,0.0601,Agressive,Agressive
2.96,0.337,3.15,4.15,2.16,0.0575,Agressive,Agressive
3.08,0.324,3.09,4.1,1.98,0.0282,Agressive,Agressive
3.01,0.333,3.08,3.98,1.97,0.00177,Agressive,Agressive
2.92,0.343,3.04,3.84,1.95,-0.0226,Agressive,Agressive
2.9,0.345,2.89,3.86,1.73,-0.0238,Agressive,Agressive
2.74,0.365,3.21,3.99,1.87,-0.0152,Agressive,Agressive
2.7,0.371,3.24,4,2.01,-0.0103,Agressive,Agressive
2.83,0.353,3.32,3.94,1.9,-0.019,Agressive,Agressive
2.86,0.35,3.53,3.99,1.93,-0.00857,Agressive,Agressive
2.81,0.356,3.48,3.95,1.93,-0.0104,Agressive,Agressive
2.92,0.342,3.48,3.76,1.9,-0.0139,Agressive,Agressive
2.9,0.344,3.55,3.71,2,-0.00711,Agressive,Agressive
2.82,0.354,3.61,3.81,1.98,0.0122,Agressive,Agressive
2.81,0.356,3.65,3.77,2.02,0.0301,Agressive,Agressive
2.85,0.351,3.7,3.76,2.08,0.0306,Agressive,Agressive
2.85,0.35,3.79,3.69,2.48,0.0297,Agressive,Agressive
2.93,0.342,3.67,3.61,2.41,0.0297,Agressive,Agressive
3.19,0.314,3.68,3.67,2.43,0.0232,Agressive,Agressive
3.24,0.309,3.45,3.64,2.51,0.0182,Agressive,Agressive
3.2,0.312,3.36,3.74,2.48,0.0114,Agressive,Agressive
3.18,0.315,3.44,3.99,2.47,0.00936,Agressive,Agressive
3.08,0.325,3.35,4.14,2.47,0.0085,Agressive,Agressive
3.05,0.328,3.22,4.09,2.43,0.0158,Agressive,Agressive
3.04,0.329,3.19,4.05,2.47,0.0183,Agressive,Agressive
2.98,0.336,3.28,4.04,2.42,0.0172,Agressive,Agressive
2.95,0.339,3.16,4.05,2.23,0.0192,Agressive,Agressive
2.99,0.335,3.04,4.04,1.99,0.0135,Agressive,Agressive
2.84,0.352,3.14,3.97,2.24,-0.00827,Agressive,Agressive
2.42,0.414,3.15,3.9,2.29,-0.0498,Agressive,Agressive
2.36,0.423,3.18,3.94,2.21,-0.062,Agressive,Agressive
2.34,0.428,3.01,3.86,2.23,-0.0573,Agressive,Agressive
2.19,0.456,2.97,3.43,2.28,-0.0591,Agressive,Agressive
2.21,0.453,3.02,3.22,2.39,-0.063,Agressive,Agressive
2.23,0.449,3.17,3.23,2.35,-0.0995,Agressive,Agressive
2.41,0.416,3.11,3.53,2.37,-0.118,Agressive,Agressive
2.46,0.406,3.05,4.19,2.39,-0.108,Agressive,Agressive
2.49,0.401,3.08,4.39,2.55,-0.103,Agressive,Agressive
2.49,0.402,2.96,4.38,2.55,-0.0911,Agressive,Agressive
2.31,0.433,2.95,4.53,2.67,-0.0706,Agressive,Agressive
2.25,0.444,2.93,4.63,2.72,-0.0407,Agressive,Agressive
2.41,0.415,3.08,4.58,2.78,-0.0198,Agressive,Agressive
2.52,0.396,3.17,4.56,2.88,-0.00328,Agressive,Agressive
2.6,0.385,3.24,4.58,2.85,0.00239,Agressive,Agressive
2.68,0.373,3.08,4.53,2.89,0.00371,Agressive,Agressive
2.67,0.374,3.47,4.56,2.98,0.00778,Agressive,Agressive
4.31,0.232,5.73,6.39,3.11,-0.000301,Agressive,Agressive
7.1,0.141,6,9.04,3.11,0.00277,Agressive,Agressive
8.03,0.125,6.03,10.2,3.09,0.00312,Agressive,Agressive
8.26,0.121,6.04,10.5,3.06,0.00325,Agressive,Agressive
8.34,0.12,6.05,10.6,2.98,0.00337,Agressive,Agressive
8.36,0.12,6.07,10.6,2.93,0.00342,Agressive,Agressive
8.37,0.119,6.07,10.6,3.05,0.00348,Agressive,Agressive
8.38,0.119,6.07,10.7,3.05,0.00349,Agressive,Agressive
8.38,0.119,6.07,10.7,3.02,0.0035,Agressive,Agressive
8.38,0.119,6.08,10.7,3.29,0.00352,Agressive,Agressive
8.38,0.119,5.78,10.7,3.48,0.00353,Agressive,Agressive
8.3,0.12,4.61,10.6,3.49,0.00379,Agressive,Agressive
7.89,0.127,4.05,10.1,3.55,0.00477,Agressive,Agressive
6.99,0.143,3.98,9.01,3.55,0.00767,Agressive,Agressive
5.83,0.172,3.93,8.34,3.55,0.0138,Agressive,Agressive
5.35,0.187,3.73,7.87,3.53,0.0167,Agressive,Agressive
4.55,0.22,3.59,6.96,3.48,0.0201,Agressive,Agressive
4.26,0.235,3.61,6.49,3.44,0.0167,Agressive,Agressive
3.77,0.265,3.51,6.25,3.41,0.0103,Agressive,Agressive
3.56,0.281,3.53,5.69,3.41,0.00163,Agressive,Agressive
3.36,0.297,3.48,5.12,3.01,-0.0162,Agressive,Agressive
3.32,0.301,3.37,4.69,2.73,-0.0219,Agressive,Agressive
3.45,0.29,3.39,4.55,2.45,-0.0209,Agressive,Agressive
3.44,0.291,3.24,4.42,2.17,-0.0248,Agressive,Agressive
3.33,0.3,3.31,3.9,2.3,-0.0415,Agressive,Agressive
3.32,0.301,3.5,3.37,2.31,-0.0465,Agressive,Agressive
3.26,0.307,3.47,3.41,2.47,-0.0442,Agressive,Agressive
3.15,0.317,3.47,3.46,2.77,-0.0369,Agressive,Agressive
3.14,0.318,3.52,3.53,2.89,-0.0383,Agressive,Agressive
3.12,0.32,3.5,3.47,2.86,-0.0429,Agressive,Agressive
3.03,0.33,3.52,3.39,2.84,-0.0471,Agressive,Agressive
3.01,0.332,3.67,3.44,2.82,-0.0467,Agressive,Agressive
2.86,0.349,3.59,3.55,2.81,-0.0488,Agressive,Agressive
2.74,0.365,3.61,3.55,2.81,-0.0456,Agressive,Agressive
2.53,0.396,3.56,3.5,2.77,-0.0345,Agressive,Agressive
2.41,0.415,3.34,3.46,2.62,-0.0357,Agressive,Agressive
2.23,0.448,3.2,3.32,2.56,-0.0258,Agressive,Agressive
2.13,0.469,3.36,3.26,2.32,-0.0119,Agressive,Agressive
2.11,0.473,3.34,3.24,1.92,0.0146,Agressive,Agressive
2.27,0.441,3.32,3.25,1.76,0.0733,Agressive,Agressive
2.48,0.402,3.32,3.27,1.73,0.0852,Agressive,Agressive
2.57,0.389,3.24,3.25,1.68,0.0854,Agressive,Agressive
2.61,0.383,3.07,3.13,1.76,0.0729,Agressive,Agressive
3.24,0.309,2.76,3.17,1.38,0.0149,Agressive,Happy
3.17,0.315,2.76,3.04,1.32,0.0112,Agressive,Happy
2.94,0.34,2.68,3.17,1.37,-0.000935,Agressive,Happy
2.78,0.359,2.73,3.31,1.45,-0.0116,Agressive,Happy
2.79,0.358,2.72,3.44,1.37,-0.00227,Agressive,Happy
2.76,0.362,2.73,3.61,1.39,-0.00774,Agressive,Happy
2.76,0.362,2.81,3.71,1.42,-0.00983,Agressive,Happy
2.89,0.346,2.8,3.63,1.41,0.00942,Agressive,Happy
3.19,0.314,2.82,3.78,1.39,0.0156,Agressive,Happy
3.2,0.312,2.81,4.03,1.56,0.0132,Agressive,Happy
3.06,0.327,2.78,4.16,1.63,0.0197,Agressive,Happy
3.02,0.331,2.62,4.19,1.63,0.018,Agressive,Happy
3.09,0.324,2.64,4.15,1.69,0.0111,Agressive,Happy
3.05,0.328,2.68,4.08,1.69,0.0116,Agressive,Happy
2.99,0.335,2.66,4.03,1.68,0.00968,Agressive,Happy
3.01,0.332,2.67,3.98,1.69,0.00382,Agressive,Happy
3.08,0.325,2.62,3.86,1.66,-0.000115,Agressive,Happy
3.15,0.317,2.46,3.85,1.6,-0.00313,Agressive,Happy
3.03,0.33,2.45,3.81,1.69,-0.0207,Agressive,Happy
2.63,0.38,2.82,3.52,1.68,-0.0417,Agressive,Happy
2.55,0.392,2.9,3.04,1.64,-0.0487,Agressive,Happy
2.68,0.373,2.9,2.72,1.65,-0.057,Agressive,Happy
2.7,0.371,2.91,2.72,1.63,-0.06,Agressive,Happy
2.68,0.374,2.97,2.78,1.6,-0.0568,Agressive,Happy
2.74,0.365,2.96,2.82,1.63,-0.0524,Agressive,Happy
2.76,0.362,3.01,2.76,1.57,-0.0447,Agressive,Happy
2.74,0.365,3.04,2.69,1.55,-0.0435,Agressive,Happy
2.69,0.371,3.25,2.89,1.61,-0.0533,Agressive,Happy
2.6,0.384,3.33,2.91,1.57,-0.056,Agressive,Happy
2.62,0.381,3.33,2.85,1.58,-0.0514,Agressive,Happy
2.59,0.386,3.01,2.97,1.65,-0.0515,Agressive,Happy
2.47,0.404,2.99,3.12,1.64,-0.0231,Agressive,Happy
2.28,0.438,3.04,3.08,1.68,0.0135,Agressive,Happy
2.46,0.407,3.07,3,1.64,0.0342,Agressive,Happy
2.53,0.395,3.03,2.95,1.72,0.0469,Agressive,Happy
2.48,0.404,3.02,2.93,1.72,0.0609,Agressive,Happy
2.5,0.4,3.15,3.22,1.85,0.0562,Agressive,Happy
2.72,0.368,3.57,5.35,1.89,0.0412,Agressive,Happy
3.48,0.287,3.44,6.53,1.87,0.0263,Agressive,Happy
3.92,0.255,3.54,6.92,1.82,0.0269,Agressive,Happy
4,0.25,3.72,7.01,1.84,0.028,Agressive,Happy
4,0.25,3.75,7.06,1.75,0.0266,Agressive,Happy
4,0.25,3.75,7.14,1.76,0.0284,Agressive,Happy
3.99,0.251,3.75,7.18,1.71,0.0293,Agressive,Happy
3.99,0.25,3.77,7.19,1.74,0.0309,Agressive,Happy
4,0.25,3.77,7.2,1.72,0.0325,Agressive,Happy
4,0.25,3.82,7.2,1.56,0.0338,Agressive,Happy
4,0.25,3.73,7.19,1.46,0.0356,Agressive,Happy
3.86,0.259,3.55,7.02,1.5,0.043,Agressive,Happy
3.22,0.311,3.44,6.51,1.51,0.0776,Agressive,Happy
2.73,0.366,3.51,5.83,1.59,0.0772,Agressive,Happy
2.77,0.361,3.29,5.41,1.57,0.0567,Agressive,Happy
2.78,0.36,3.28,5.1,1.67,0.0562,Agressive,Happy
2.77,0.361,3.27,4.53,1.8,0.0512,Agressive,Happy
2.76,0.362,3.21,4.11,1.91,0.0446,Agressive,Happy
2.76,0.362,3.19,4.25,1.86,0.0413,Agressive,Happy
2.75,0.364,3.18,4.36,1.85,0.0261,Agressive,Happy
2.72,0.368,3.22,4.48,1.88,0.0166,Agressive,Happy
2.67,0.374,3.07,4.47,1.96,0.00812,Agressive,Happy
2.58,0.387,3.05,4.39,1.93,0.00671,Agressive,Happy
2.43,0.412,3.06,4.37,1.96,0.0189,Agressive,Happy
2.27,0.441,2.83,4.37,1.91,0.0623,Agressive,Happy
2.14,0.467,2.97,4.33,1.88,0.0984,Agressive,Happy
2.17,0.461,3.14,4.34,1.69,0.0899,Agressive,Happy
2.16,0.464,3.18,4.34,1.52,0.095,Agressive,Happy
1.98,0.505,3.32,4.08,1.63,0.147,Agressive,Happy
2.18,0.458,3.39,3.7,1.64,0.0843,Agressive,Happy
2.69,0.372,3.32,3.38,1.58,0.0117,Agressive,Happy
3.01,0.332,3.28,3.18,1.77,0.00583,Agressive,Happy
3.09,0.324,3.33,3.37,1.75,0.0114,Agressive,Happy
3.08,0.324,3.35,3.61,1.74,0.0128,Agressive,Happy
3.1,0.323,3.35,3.73,1.71,0.0146,Agressive,Happy
3.18,0.314,3.31,3.95,1.76,0.0187,Agressive,Happy
3.37,0.297,3.26,4.23,1.73,0.0226,Agressive,Happy
3.53,0.283,3.16,4.44,1.73,0.0219,Agressive,Happy
3.56,0.281,3.27,4.51,1.77,0.0217,Agressive,Happy
3.54,0.282,3.15,4.49,1.72,0.0199,Agressive,Happy
3.44,0.291,3.11,4.55,1.7,0.0233,Agressive,Happy
3.19,0.314,3.04,4.6,1.69,0.0464,Agressive,Happy
3.03,0.33,3,4.57,1.27,0.0574,Agressive,Happy
3.03,0.33,3,4.55,1.27,0.0526,Agressive,Happy
3.04,0.329,2.99,4.64,1.3,0.0482,Agressive,Happy
3,0.333,2.95,4.66,1.18,0.0492,Agressive,Happy
2.83,0.354,2.91,4.56,1.15,0.046,Agressive,Happy
2.63,0.381,2.88,4.25,1.2,0.0355,Agressive,Happy
2.61,0.383,3.09,4.02,1.3,0.0135,Agressive,Happy
2.63,0.38,2.92,4.01,1.44,-0.00737,Agressive,Happy
2.62,0.382,2.99,3.98,1.46,-0.00632,Agressive,Happy
2.72,0.368,3.05,3.87,1.49,-0.00398,Agressive,Happy
2.91,0.344,3.09,4,1.59,-0.0194,Agressive,Happy
2.93,0.341,3.12,4.24,1.68,-0.0313,Agressive,Happy
2.89,0.346,3.06,4.18,1.65,-0.024,Agressive,Happy
2.89,0.345,3.09,3.92,1.7,-0.0121,Agressive,Happy
2.92,0.342,3.1,3.85,1.88,-0.00659,Agressive,Happy
2.86,0.349,3.06,3.9,1.9,-0.00242,Agressive,Happy
2.7,0.37,3.03,3.92,2.01,-0.000518,Agressive,Happy
2.5,0.4,2.89,3.92,1.93,0.00355,Agressive,Happy
2.49,0.401,2.84,3.94,2.01,0.0202,Agressive,Happy
2.49,0.401,2.75,4.03,2.01,0.0256,Agressive,Happy
2.24,0.446,2.77,4.03,2.15,0.0384,Agressive,Happy
1.92,0.52,2.7,3.83,2.18,0.103,Agressive,Happy
2.07,0.483,2.7,3.53,2.18,0.0973,Agressive,Happy
2.37,0.422,2.76,3.4,2.19,0.0134,Agressive,Happy
2.36,0.423,2.91,3.38,2.17,-0.0219,Agressive,Happy
2.32,0.431,3.22,3.98,2.06,-0.0406,Agressive,Happy
2.51,0.399,3.31,5.2,2.23,-0.00187,Agressive,Happy
2.99,0.335,4.27,5.79,4.12,0.0263,Agressive,Happy
3.38,0.296,3.6,4.38,3.03,0.00519,Calm,Sad
3.31,0.302,3.59,4.26,3.03,0.00306,Calm,Sad
3.32,0.301,3.59,4.09,3.11,-0.00051,Calm,Sad
3.26,0.306,3.58,4.07,2.96,-0.00343,Calm,Sad
3.18,0.314,3.69,4.07,2.95,-0.0068,Calm,Sad
3.14,0.319,3.66,4.06,2.97,-0.0147,Calm,Sad
3.11,0.322,3.49,4.04,3.03,-0.0179,Calm,Sad
2.92,0.343,3.15,3.96,2.93,-0.00859,Calm,Sad
2.68,0.373,3.24,3.9,2.98,0.00134,Calm,Sad
2.69,0.372,3.09,3.92,2.92,0.00368,Calm,Sad
2.73,0.367,3.09,3.7,2.95,0.00947,Calm,Sad
2.74,0.365,3.23,3.42,3.02,0.0032,Calm,Sad
2.77,0.361,3.39,3.5,2.99,0.00683,Calm,Sad
2.91,0.343,3.44,3.52,2.98,0.0238,Calm,Sad
3.06,0.327,3.4,3.54,3.02,0.024,Calm,Sad
3.07,0.325,3.27,3.56,3.02,0.0156,Calm,Sad
3.01,0.332,3.22,3.55,2.96,0.0248,Calm,Sad
2.9,0.345,3.21,3.56,3,0.0304,Calm,Sad
2.79,0.359,3.26,3.67,3.06,0.0196,Calm,Sad
2.78,0.359,3.37,3.84,3.04,0.00493,Calm,Sad
2.78,0.36,3.32,3.89,3.06,0.00203,Calm,Sad
2.68,0.373,3.32,3.85,3.11,0.0118,Calm,Sad
2.72,0.368,3.38,3.64,3.12,0.0297,Calm,Sad
2.99,0.335,3.45,3.55,3.12,0.0209,Calm,Sad
3.05,0.328,3.44,3.56,3.16,0.0149,Calm,Sad
