alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Response
3.45,0.29,3.52,3.89,2.84,0.0395,Agressive,Agressive
3.44,0.291,3.55,3.96,2.85,0.0231,Agressive,Agressive
3.47,0.289,3.56,3.94,2.85,0.00748,Agressive,Agressive
3.53,0.283,3.57,3.94,2.89,0.0038,Agressive,Agressive
3.58,0.28,3.65,4.01,2.9,-0.01,Agressive,Agressive
3.48,0.288,3.74,4.05,2.93,-0.0381,Agressive,Agressive
3.38,0.295,3.65,3.9,2.88,-0.053,Agressive,Agressive
3.37,0.297,3.58,3.7,2.76,-0.0476,Agressive,Agressive
3.33,0.3,3.37,3.72,2.13,-0.0409,Agressive,Agressive
3.32,0.301,3.29,3.72,1.99,-0.0377,Agressive,Agressive
3.31,0.302,3.33,3.68,1.9,-0.0486,Agressive,Agressive
3.31,0.302,3.44,3.55,1.85,-0.0484,Agressive,Agressive
3.3,0.303,3.41,3.51,1.85,-0.0324,Agressive,Agressive
3.27,0.306,3.39,3.56,1.89,-0.0253,Agressive,Agressive
3.16,0.317,3.48,3.5,1.8,-0.0318,Agressive,Agressive
2.92,0.342,3.49,3.47,2.03,-0.0282,Agressive,Agressive
2.94,0.34,3.5,3.53,2.28,0.00512,Agressive,Agressive
3.03,0.33,3.51,3.55,2.29,0.00899,Agressive,Agressive
2.98,0.336,3.48,3.72,2.51,0.00218,Agressive,Agressive
2.97,0.337,3.49,3.94,2.53,-0.00305,Agressive,Agressive
3.12,0.32,3.5,4.07,2.54,0.00303,Agressive,Agressive
3.17,0.316,3.34,4.03,2.49,0.00466,Agressive,Agressive
3.12,0.32,3.19,3.93,2.51,0.00665,Agressive,Agressive
3.09,0.323,3.2,3.89,2.57,0.0171,Agressive,Agressive
3.1,0.323,3.27,3.88,2.6,0.0222,Agressive,Agressive
3.12,0.32,2.98,3.87,2.57,0.0232,Agressive,Agressive
3.07,0.326,2.91,3.83,2.34,0.0163,Agressive,Agressive
2.93,0.341,2.95,3.86,2.18,0.00363,Agressive,Agressive
2.94,0.341,2.94,4.01,2.1,-0.000793,Agressive,Agressive
3.04,0.329,3.03,3.94,1.91,-0.00555,Agressive,Agressive
2.81,0.356,3.14,3.65,1.87,-0.0164,Agressive,Agressive
2.5,0.4,3.1,3.56,1.84,-0.0187,Agressive,Agressive
2.51,0.399,3.11,3.56,1.79,-0.00578,Agressive,Agressive
