alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Response
2.66,0.376,2.65,4.41,1.8,-0.0229,Agressive,Happy
2.88,0.347,2.7,4.42,1.73,-0.0186,Agressive,Happy
3.03,0.331,2.79,4.39,1.72,-0.000566,Agressive,Happy
3.29,0.304,2.91,4.39,1.76,0.015,Agressive,Happy
3.65,0.274,3.07,4.32,1.69,0.012,Agressive,Happy
3.95,0.253,3.15,4.07,1.69,-0.00459,Agressive,Happy
4.07,0.246,3.24,3.91,1.66,-0.0149,Agressive,Happy
4.08,0.245,3.2,3.9,1.8,-0.0181,Agressive,Happy
4.09,0.245,3.38,3.85,1.83,-0.0184,Agressive,Happy
4.1,0.244,3.37,3.76,1.8,-0.0186,Agressive,Happy
4.09,0.244,3.37,3.67,1.86,-0.0194,Agressive,Happy
4.04,0.247,3.32,3.73,1.83,-0.0208,Agressive,Happy
3.97,0.252,3.38,3.65,1.87,-0.0236,Agressive,Happy
3.9,0.257,3.39,3.57,1.9,-0.0279,Agressive,Happy
3.73,0.268,3.33,3.55,1.75,-0.0412,Agressive,Happy
3.39,0.295,3.24,3.72,1.72,-0.074,Agressive,Happy
2.96,0.338,3.23,3.64,1.75,-0.103,Agressive,Happy
2.89,0.346,3.25,3.64,1.78,-0.0679,Agressive,Happy
2.9,0.345,3.21,3.96,1.56,-0.0529,Agressive,Happy
2.84,0.352,2.9,4.17,1.62,-0.054,Agressive,Happy
2.77,0.36,3.07,4.2,1.63,-0.0487,Agressive,Happy
2.66,0.377,3.12,4.12,1.59,-0.0571,Agressive,Happy
2.64,0.379,3.31,4.19,1.56,-0.0582,Agressive,Happy
2.61,0.383,3.3,4.29,1.46,-0.0575,Agressive,Happy
2.77,0.36,3.28,4.27,1.48,-0.0602,Agressive,Happy
2.89,0.346,3.36,4.26,1.44,-0.0588,Agressive,Happy
2.73,0.367,3.49,4.26,1.83,-0.0521,Agressive,Happy
2.42,0.413,3.81,4.28,1.95,-0.047,Agressive,Happy
2.62,0.381,3.81,4.48,1.98,-0.0495,Agressive,Happy
3.12,0.321,3.81,4.71,2.07,-0.0342,Agressive,Happy
3.34,0.299,3.78,4.69,2.16,-0.0296,Agressive,Happy
3.51,0.285,3.69,4.67,2.2,-0.0339,Agressive,Happy
3.62,0.276,3.7,4.69,2.38,-0.0315,Agressive,Happy
3.7,0.27,3.61,4.67,2.38,-0.0293,Agressive,Happy
3.7,0.27,3.64,4.73,2.35,-0.0249,Agressive,Happy
3.65,0.274,3.6,4.78,2.37,-0.0133,Agressive,Happy
3.63,0.275,3.71,4.78,2.47,-0.0078,Agressive,Happy
3.64,0.274,3.72,4.78,2.36,-0.00673,Agressive,Happy
3.65,0.274,3.51,4.8,2.31,-0.00474,Agressive,Happy
3.57,0.28,3.52,4.53,2.3,-0.00518,Agressive,Happy
3.43,0.292,3.54,4.2,2.21,-0.0135,Agressive,Happy
3.41,0.293,3.59,4.15,2.16,-0.0245,Agressive,Happy
3.46,0.289,3.61,4.12,2.04,-0.0387,Agressive,Happy
3.4,0.294,3.58,4.12,2.09,-0.0582,Agressive,Happy
3.36,0.298,3.53,4.05,2.14,-0.0562,Agressive,Happy
3.4,0.294,3.5,3.9,2.17,-0.0488,Agressive,Happy
3.39,0.295,3.54,3.77,2.13,-0.0557,Agressive,Happy
3.39,0.295,3.08,3.71,1.95,-0.0594,Agressive,Happy
3.42,0.292,2.87,3.6,1.91,-0.0627,Agressive,Happy
3.35,0.299,3.01,3.36,1.89,-0.0752,Agressive,Happy
3.23,0.31,3.16,3.25,2,-0.0737,Agressive,Happy
3.1,0.323,3.13,3.22,1.99,-0.0763,Agressive,Happy
2.87,0.348,3.07,3.28,2.08,-0.0821,Agressive,Happy
2.52,0.397,3.02,3.31,2.08,-0.0434,Agressive,Happy
2.44,0.411,2.93,3.27,1.96,-0.0146,Agressive,Happy
2.42,0.414,3.01,3.28,1.9,-0.0535,Agressive,Happy
2.19,0.456,3.01,3.3,1.89,-0.107,Agressive,Happy
2.12,0.471,2.96,3.23,1.89,-0.123,Agressive,Happy
2.04,0.491,3.16,3.27,1.94,-0.132,Agressive,Happy
1.82,0.548,3.2,3.27,1.98,-0.0889,Agressive,Happy
